"행정구역(시군구)별",2015.01,2015.01,2015.01,2015.02,2015.02,2015.02,2015.03,2015.03,2015.03,2015.04,2015.04,2015.04,2015.05,2015.05,2015.05,2015.06,2015.06,2015.06,2015.07,2015.07,2015.07,2015.08,2015.08,2015.08,2015.09,2015.09,2015.09,2015.10,2015.10,2015.10,2015.11,2015.11,2015.11,2015.12,2015.12,2015.12
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"강원도",1543640,777867,765773,1542918,777518,765400,1543187,777725,765462,1543811,778078,765733,1545194,778923,766271,1547166,780487,766679,1547737,780890,766847,1547646,780655,766991,1548082,780890,767192,1549221,781383,767838,1549178,781285,767893,1549507,781434,768073
"경기도",12366711,6223885,6142826,12376944,6229184,6147760,12392297,6237256,6155041,12405279,6243963,6161316,12418899,6250770,6168129,12432063,6256986,6175077,12444924,6263282,6181642,12460604,6271034,6189570,12475565,6278190,6197375,12491080,6285999,6205081,12504790,6291542,6213248,12522606,6299812,6222794
"경상남도",3351038,1687712,1663326,3351137,1687916,1663221,3352780,1688743,1664037,3354602,1689642,1664960,3356168,1690433,1665735,3356540,1690798,1665742,3356488,1690690,1665798,3357120,1690969,1666151,3359523,1692102,1667421,3361489,1693050,1668439,3362754,1693925,1668829,3364702,1694981,1669721
"경상북도",2699275,1355546,1343729,2698469,1355236,1343233,2697302,1354636,1342666,2696837,1354216,1342621,2696674,1354095,1342579,2697791,1354618,1343173,2698899,1355087,1343812,2699955,1355736,1344219,2700461,1355977,1344484,2700878,1356202,1344676,2702186,1356986,1345200,2702826,1357306,1345520
"광주광역시",1476891,731801,745090,1477340,731983,745357,1477504,732108,745396,1477609,732108,745501,1477212,731865,745347,1476974,731808,745166,1476716,731692,745024,1476152,731412,744740,1475590,731096,744494,1474603,730729,743874,1474910,730814,744096,1472199,729662,742537
"대구광역시",2492658,1240653,1252005,2492583,1240549,1252034,2491897,1239929,1251968,2491545,1239638,1251907,2491867,1239697,1252170,2491137,1239275,1251862,2490799,1239093,1251706,2490621,1238966,1251655,2490584,1238902,1251682,2489847,1238374,1251473,2489339,1238044,1251295,2487829,1237291,1250538
"대전광역시",1531287,766194,765093,1529431,765210,764221,1528090,764495,763595,1527314,764055,763259,1526568,763641,762927,1525656,763262,762394,1525195,763038,762157,1524025,762347,761678,1523338,761961,761377,1522288,761366,760922,1521142,760818,760324,1518775,759778,758997
"부산광역시",3517898,1739447,1778451,3517939,1739181,1778758,3515839,1737884,1777955,3515439,1737312,1778127,3515806,1737367,1778439,3517491,1737975,1779516,3518955,1738689,1780266,3517907,1738010,1779897,3516704,1737350,1779354,3515689,1736778,1778911,3514842,1736279,1778563,3513777,1735570,1778207
