"행정구역(시군구)별",2014.01,2014.01,2014.01,2014.02,2014.02,2014.02,2014.03,2014.03,2014.03,2014.04,2014.04,2014.04,2014.05,2014.05,2014.05,2014.06,2014.06,2014.06,2014.07,2014.07,2014.07,2014.08,2014.08,2014.08,2014.09,2014.09,2014.09,2014.10,2014.10,2014.10,2014.11,2014.11,2014.11,2014.12,2014.12,2014.12
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"강원도",1540745,775636,765109,1539343,774852,764491,1541051,775982,765069,1541556,776338,765218,1541841,776437,765404,1541568,776108,765460,1541315,775808,765507,1541010,775609,765401,1541414,775742,765672,1542147,775948,766199,1542604,776339,766265,1544442,778007,766435
"경기도",12245960,6164542,6081418,12256617,6169825,6086792,12266541,6175104,6091437,12276751,6180303,6096448,12286470,6185339,6101131,12300698,6192798,6107900,12313649,6199495,6114154,12324470,6204878,6119592,12334023,6209804,6124219,12342448,6213736,6128712,12348078,6215639,6132439,12357830,6219813,6138017
"경상남도",3334948,1679136,1655812,3334412,1678953,1655459,3335088,1679110,1655978,3336980,1680180,1656800,3339869,1681722,1658147,3341111,1682351,1658760,3342286,1682935,1659351,3343307,1683447,1659860,3343878,1683818,1660060,3344403,1684093,1660310,3347317,1685563,1661754,3350257,1687114,1663143
"경상북도",2698306,1355429,1342877,2697306,1355173,1342133,2697169,1354872,1342297,2697438,1355071,1342367,2697563,1355055,1342508,2697248,1354925,1342323,2697325,1354761,1342564,2697927,1354995,1342932,2703929,1357549,1346380,2700328,1355885,1344443,2699686,1355600,1344086,2700794,1356182,1344612
"광주광역시",1473529,730486,743043,1473327,730342,742985,1472490,729873,742617,1471850,729480,742370,1473697,730441,743256,1474546,730751,743795,1475676,731288,744388,1476459,731655,744804,1477517,732118,745399,1477780,732389,745391,1478204,732567,745637,1475884,731339,744545
"대구광역시",2501823,1246104,1255719,2500778,1245343,1255435,2500874,1245256,1255618,2499880,1244520,1255360,2498632,1243946,1254686,2498450,1243797,1254653,2497705,1243426,1254279,2496596,1242782,1253814,2491269,1240334,1250935,2492994,1241130,1251864,2493857,1241531,1252326,2493264,1241119,1252145
"대전광역시",1533497,767665,765832,1534335,768055,766280,1534954,768343,766611,1535367,768425,766942,1535415,768423,766992,1535701,768522,767179,1536349,768832,767517,1536286,768825,767461,1535815,768485,767330,1535028,768106,766922,1534041,767536,766505,1531809,766497,765312
"부산광역시",3526648,1746434,1780214,3527439,1746523,1780916,3525512,1745079,1780433,3523386,1743807,1779579,3521473,1742696,1778777,3521210,1742434,1778776,3520288,1741809,1778479,3520287,1741594,1778693,3520732,1741439,1779293,3525913,1743762,1782151,3522643,1742210,1780433,3519401,1740417,1778984
"서울특별시",10143164,5007016,5136148,10144173,5006461,5137712,10141727,5004714,5137013,10137313,5002036,5135277,10133734,4999497,5134237,10129223,4996391,5132832,10125912,4994112,5131800,10124243,4992925,5131318,10122661,4991568,5131093,10117909,4988547,5129362,10112156,4984988,5127168,10103233,4979768,5123465
"세종특별자치시",123802,63011,60791,125944,64021,61923,126857,64507,62350,128200,65181,63019,129669,65909,63760,130708,66427,64281,132016,67017,64999,134631,68319,66312,138136,70037,68099,142686,72294,70392,148151,74983,73168,156125,78862,77263
"울산광역시",1157199,595781,561418,1157627,596084,561543,1158245,596505,561740,1159234,596923,562311,1160275,597474,562801,1161019,597879,563140,1161538,598236,563302,1162316,598642,563674,1163048,599060,563988,1163690,599456,564234,1166229,600845,565384,1166377,600904,565473
"인천광역시",2882047,1449766,1432281,2884824,1450948,1433876,2886580,1451704,1434876,2889258,1453139,1436119,2891615,1454165,1437450,2892483,1454600,1437883,2894151,1455207,1438944,2895292,1455683,1439609,2897018,1456505,1440513,2899071,1457469,1441602,2900996,1458361,1442635,2902608,1459074,1443534
"전국",51156168,25594653,25561515,51171176,25601055,25570121,51185882,25607390,25578492,51202130,25614648,25587482,51218424,25621971,25596453,51233579,25628547,25605032,51250261,25635765,25614496,51266779,25643094,25623685,51284774,25651006,25633768,51302044,25658417,25643627,51314683,25663668,25651015,51327916,25669296,25658620
"전라남도",1906363,952350,954013,1905198,951878,953320,1905860,952147,953713,1907343,952724,954619,1906487,952192,954295,1905242,951551,953691,1904195,951046,953149,1903177,950473,952704,1902350,950073,952277,1902324,949962,952362,1902916,950465,952451,1905780,951975,953805
"전라북도",1872297,932564,939733,1871267,932045,939222,1871139,931828,939311,1871174,931638,939536,1871333,931651,939682,1870844,931333,939511,1871456,931568,939888,1872056,931863,940193,1871931,931792,940139,1871747,931654,940093,1871725,931702,940023,1871560,931536,940024
"제주특별자치도",594623,297920,296703,595913,298658,297255,596941,299154,297787,598015,299643,298372,599122,300313,298809,600284,300896,299388,601467,301495,299972,602521,302021,300500,603567,302551,301016,604771,303183,301588,606072,303894,302178,607346,304656,302690
"충청남도",2048438,1037965,1010473,2049750,1038876,1010874,2051940,1040224,1011716,2053837,1041279,1012558,2056156,1042559,1013597,2057178,1043065,1014113,2058114,1043678,1014436,2058652,1043937,1014715,2059085,1044226,1014859,2059871,1044654,1015217,2060971,1045234,1015737,2062273,1045892,1016381
"충청북도",1572779,792848,779931,1572923,793018,779905,1572914,792988,779926,1574548,793961,780587,1575073,794152,780921,1576066,794719,781347,1576819,795052,781767,1577549,795446,782103,1578401,795905,782496,1578934,796149,782785,1579037,796211,782826,1578933,796141,782792
