"행정구역별(1)",행정구역별(2),주민등록인구수(등록외국인포함) (명),합계,합계,합계,종합병원 (개),종합병원 (개),종합병원 (개),병원 (개),병원 (개),의원 (개),의원 (개),특수병원 (개),특수병원 (개),요양병원 (개),요양병원 (개),치과병(의)원 (개),치과병(의)원 (개),한방병원 (개),한방병원 (개),한의원 (개),한의원 (개),조산소 (개),조산소 (개),부속병·의원 (개),부속병·의원 (개),보건의료원 (개),보건소 (개),보건지소 (개),보건진료소 (개)
"행정구역별(1)",행정구역별(2),소계,병원수 (개),병상수 (개),병상확보율 (%),병원수,병상수,만명당종합병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,소계,소계,소계,소계
"행정구역별(1)",행정구역별(2),2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
"총계",소계,51881165,59288,592312,1.14,322,138475,0.06,1274,149852,28506,81960,153,45115,1078,162483,15130,351,191,11767,12417,1562,35,84,182,663,15,235,1124,1552
"서울특별시",소계,10442426,15942,82116,0.79,58,33307,0.06,194,16543,7489,14292,16,4221,85,11308,4605,149,30,1767,3419,486,4,14,42,29,0,25,21,0
"서울특별시",종로구,173148,479,3319,1.92,4,2904,0.23,3,150,167,194,0,0,-,-,169,40,1,31,130,-,-,-,5,-,-,1,1,-
"서울특별시",중구,140807,552,1657,1.18,3,1184,0.21,2,218,203,197,0,0,1,58,229,0,-,-,97,-,-,-,17,-,-,1,1,-
"서울특별시",용산구,255294,287,1066,0.42,2,838,0.08,1,80,119,107,0,0,-,-,104,0,1,36,58,-,1,5,1,-,-,1,1,-
"서울특별시",성동구,306868,365,1982,0.65,1,805,0.03,6,514,168,356,0,0,2,307,113,0,-,-,75,-,-,-,-,-,-,1,2,-
"서울특별시",광진구,384269,512,3276,0.85,2,1173,0.05,4,161,247,868,1,960,1,88,142,0,-,-,115,26,-,-,-,-,-,1,-,-
"서울특별시",동대문구,375683,596,5747,1.53,5,2104,0.13,14,1626,232,591,1,500,6,655,142,26,1,240,194,-,1,5,-,-,-,1,1,-
"서울특별시",중랑구,423655,460,3219,0.76,2,979,0.05,11,920,212,871,0,0,5,449,128,0,-,-,102,-,-,-,-,-,-,1,1,-
"서울특별시",성북구,490639,553,3281,0.67,1,959,0.02,5,414,266,634,1,234,6,949,153,0,1,41,120,50,-,-,-,-,-,1,-,-
"서울특별시",강북구,346493,425,2242,0.65,1,214,0.03,9,918,213,602,3,290,2,216,107,0,-,-,90,2,-,-,-,-,-,1,1,-
"서울특별시",도봉구,364454,336,2898,0.80,1,477,0.03,6,839,145,335,3,460,7,787,95,0,-,-,78,-,-,-,1,-,-,1,-,-
"서울특별시",노원구,600829,667,3477,0.58,3,1804,0.05,7,542,324,586,1,89,3,442,184,0,-,-,144,14,-,-,1,-,-,1,-,-
"서울특별시",은평구,505902,550,3273,0.65,1,211,0.02,10,851,259,609,2,827,5,635,140,0,1,36,132,104,-,-,-,-,-,1,1,-
"서울특별시",서대문구,324733,397,3280,1.01,2,2325,0.06,3,186,182,419,0,0,2,258,124,9,1,64,83,19,-,-,-,-,-,1,2,-
"서울특별시",마포구,393576,618,833,0.21,-,-,-,2,227,295,419,0,0,1,80,174,0,1,51,145,56,-,-,-,-,-,1,1,-
"서울특별시",양천구,500533,594,2832,0.57,2,1201,0.04,5,650,264,528,0,0,3,280,173,5,3,168,144,-,-,-,-,-,-,1,1,-
"서울특별시",강서구,573794,664,3592,0.63,3,557,0.05,15,1201,311,725,0,0,7,990,184,0,2,99,139,18,1,2,2,-,-,1,1,-
"서울특별시",구로구,454478,513,3056,0.67,2,1112,0.04,5,403,229,518,1,233,4,676,154,0,1,60,114,51,1,2,2,1,-,1,-,-
"서울특별시",금천구,260734,305,1692,0.65,1,146,0.04,6,527,136,456,0,0,4,502,97,0,1,47,60,14,-,-,-,-,-,1,1,-
"서울특별시",영등포구,426876,681,5151,1.21,7,2258,0.16,9,1081,285,542,0,0,8,1182,218,0,2,88,144,-,-,-,8,-,-,1,1,-
"서울특별시",동작구,416268,534,2814,0.68,2,1657,0.05,5,417,239,362,0,0,2,305,163,0,1,50,122,23,-,-,-,-,-,1,1,-
"서울특별시",관악구,540520,651,1903,0.35,2,313,0.04,4,266,305,865,0,0,2,407,192,0,-,-,144,52,-,-,2,-,-,1,1,-
"서울특별시",서초구,439998,1139,3027,0.69,1,1332,0.02,7,829,546,520,0,0,2,162,325,16,4,168,253,-,-,-,1,-,-,1,1,-
"서울특별시",강남구,569997,2369,6672,1.17,5,3328,0.09,29,1541,1378,1135,1,131,1,113,590,43,5,354,360,27,-,-,-,-,-,1,1,-
"서울특별시",송파구,680150,982,6236,0.92,2,3180,0.03,14,1087,440,929,1,219,6,748,300,0,1,34,217,11,-,-,1,28,-,1,-,-
"서울특별시",강동구,492728,713,5591,1.13,3,2246,0.06,12,895,324,924,1,278,5,1019,205,10,3,200,159,19,-,-,1,-,-,1,1,-
"부산광역시",소계,3573533,4522,57449,1.61,27,12781,0.08,105,12834,2089,5920,10,2906,156,22318,1092,13,9,647,1018,18,7,12,9,0,0,16,10,5
"부산광역시",중구,49407,112,1193,2.41,1,424,0.20,1,104,78,150,-,-,5,515,1,-,-,-,26,-,-,-,-,-,-,1,-,-
"부산광역시",서구,122040,138,4247,3.48,4,3454,0.33,1,50,57,219,-,-,4,494,32,-,1,30,39,-,-,-,-,-,-,1,-,-
"부산광역시",동구,99907,175,2745,2.75,3,914,0.30,4,392,78,130,-,-,5,1309,40,-,-,-,45,-,-,-,-,-,-,1,-,-
"부산광역시",영도구,141422,141,1096,0.77,2,547,0.14,-,-,74,88,-,-,3,426,27,-,1,35,34,-,-,-,-,-,-,1,-,-
"부산광역시",부산진구,395032,697,5802,1.47,4,1892,0.10,8,1037,377,794,-,-,16,1916,150,3,1,159,139,-,1,1,1,-,-,1,-,-
"부산광역시",동래구,279805,413,5165,1.85,3,1013,0.11,12,954,161,588,4,762,12,1846,113,-,-,-,107,-,1,2,-,-,-,1,-,-
"부산광역시",남구,294673,319,2122,0.72,1,459,0.03,4,522,142,310,-,-,5,831,85,-,-,-,82,-,-,-,-,-,-,1,-,-
"부산광역시",북구,314085,309,3265,1.04,1,411,0.03,6,835,150,400,1,298,10,1317,76,4,-,-,64,-,-,-,1,-,-,1,1,-
"부산광역시",해운대구,431526,564,5735,1.33,1,746,0.02,12,1121,262,992,1,299,21,2441,146,6,1,123,119,7,1,-,-,-,-,1,2,-
"부산광역시",사하구,356769,384,6284,1.76,-,-,-,21,2281,169,715,1,299,17,2978,96,-,-,-,79,11,-,-,1,-,-,1,-,-
"부산광역시",금정구,258066,321,5189,2.01,1,460,0.04,8,976,128,323,2,708,19,2613,84,-,2,109,77,-,-,-,-,-,-,1,-,-
"부산광역시",강서구,70356,35,309,0.44,-,-,-,1,218,11,21,-,-,1,70,13,-,-,-,5,-,-,-,4,-,-,1,4,3
"부산광역시",연제구,212326,309,3301,1.55,1,497,0.05,4,328,140,406,1,540,13,1480,80,-,1,44,67,-,2,6,-,-,-,1,-,-
