"행정구역별(1)",행정구역별(2),주민등록인구수(등록외국인포함) (명),합계,합계,합계,종합병원 (개),종합병원 (개),종합병원 (개),병원 (개),병원 (개),의원 (개),의원 (개),특수병원 (개),특수병원 (개),요양병원 (개),요양병원 (개),치과병(의)원 (개),치과병(의)원 (개),한방병원 (개),한방병원 (개),한의원 (개),한의원 (개),조산소 (개),조산소 (개),부속병·의원 (개),부속병·의원 (개),보건의료원 (개),보건소 (개),보건지소 (개),보건진료소 (개)
"행정구역별(1)",행정구역별(2),소계,병원수 (개),병상수 (개),병상확보율 (%),병원수,병상수,만명당종합병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,소계,소계,소계,소계
"행정구역별(1)",행정구역별(2),2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"총계",소계,52678429,63471,670096,1.27,338,147520,0.06,1370,151353,29385,74227,169,48427,1326,228808,16788,342,260,16367,13603,2402,30,52,202,598,15,237,1328,1874
"서울특별시",소계,10297138,16615,84470,0.82,56,33036,0.05,212,17891,7831,12457,15,3692,93,14604,4744,144,38,2015,3565,590,5,12,56,29,0,25,20,16
"서울특별시",종로구,163822,473,3315,2.02,4,2949,0.24,2,121,167,174,0,0,0,0,164,40,1,31,129,0,0,0,6,0,0,1,1,0
"서울특별시",중구,134329,528,1570,1.17,3,1125,0.22,2,218,205,227,0,0,0,0,212,0,0,0,88,0,0,0,18,0,0,1,1,2
"서울특별시",용산구,247909,300,988,0.40,1,704,0.04,2,192,125,87,0,0,0,0,107,0,0,0,62,0,1,5,2,0,0,1,1,0
"서울특별시",성동구,305065,394,1785,0.59,1,828,0.03,5,456,181,187,0,0,2,314,121,0,0,0,84,0,0,0,0,0,0,1,2,0
"서울특별시",광진구,375180,539,2432,0.65,2,1109,0.05,3,188,261,779,1,254,1,76,153,0,0,0,118,26,0,0,0,0,0,1,0,2
"서울특별시",동대문구,373824,593,6022,1.61,5,2051,0.13,13,1416,235,504,1,500,8,1275,155,26,1,240,174,5,1,5,0,0,0,1,1,0
