"시도별(1)","연령별(1)","성별(1)",중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)
"대구광역시","15 - 19세","여자",84326,83947,83053,80821,78948,75943,71455
"대구광역시","20 - 24세","남자",91749,94300,96711,98607,98993,98474,95611
"대구광역시","20 - 24세","여자",74076,75373,77078,78772,80002,80546,80061
"대구광역시","25 - 29세","남자",87499,83245,80025,79661,80695,81004,84132
"대구광역시","25 - 29세","여자",83101,76299,70437,67386,66593,66542,68977
"대구광역시","30 - 34세","남자",91272,91847,91401,89908,85722,81400,77698
"대구광역시","30 - 34세","여자",91115,92367,91981,89210,82539,76654,71237
"대구광역시","35 - 39세","남자",101038,96973,92597,89642,89368,89994,90429
"대구광역시","35 - 39세","여자",102793,97950,93161,89317,88462,89144,90028
"대구광역시","40 - 44세","남자",110784,110686,109885,107735,104894,100226,96289
"대구광역시","40 - 44세","여자",114730,115086,114523,111822,108075,102920,98135
"대구광역시","45 - 49세","남자",108832,107427,105602,108539,109491,110145,110279
"대구광역시","45 - 49세","여자",110645,109521,108561,112216,113191,114125,114406
"대구광역시","50 - 54세","남자",106032,108374,111127,110064,108223,104708,103726
"대구광역시","50 - 54세","여자",108595,111163,114309,113164,110672,107298,106781
"대구광역시","55 - 59세","남자",77712,81431,85258,90745,94914,100484,103134
"대구광역시","55 - 59세","여자",82068,85393,88214,93554,98261,104659,107196
"대구광역시","60 - 64세","남자",57315,60066,62089,63519,67415,72560,75882
"대구광역시","60 - 64세","여자",61730,64617,67277,68545,73192,78811,81751
"대구광역시","65 - 69세","남자",41161,41523,42612,45294,48511,51824,54859
"대구광역시","65 - 69세","여자",48412,48690,49407,51943,54476,58816,62079
"대구광역시","70 - 74세","남자",31988,34248,36766,37544,37754,36167,36652
"대구광역시","70 - 74세","여자",43086,45434,47878,48708,48504,45613,46124
"대구광역시","75 - 79세","남자",19061,20752,22142,23841,24963,26286,28651
"대구광역시","75 - 79세","여자",30883,32647,34457,36309,37798,39371,41663
"대구광역시","80세이상","남자",11417,12646,13940,15399,17264,19348,21299
"대구광역시","80세이상","여자",28365,30847,33309,36019,38982,42588,45649
"대구광역시","80 - 84세","남자",7809,8670,9581,10650,12280,13849,15025
"대구광역시","80 - 84세","여자",17561,19045,20384,21910,23763,25944,27452
"대구광역시","85 - 89세","남자",2883,3141,3399,3692,3857,4267,4885
"대구광역시","85 - 89세","여자",7851,8478,9190,10098,10889,11944,13038
"대구광역시","90 - 94세","남자",630,732,844,918,965,1054,1174
"대구광역시","90 - 94세","여자",2388,2706,3083,3322,3553,3823,4184
"대구광역시","95 - 99세","남자",89,97,108,130,151,167,198
"대구광역시","95 - 99세","여자",496,546,578,610,689,773,863
"대구광역시","100세 이상","남자",6,6,8,9,11,11,17
"대구광역시","100세 이상","여자",69,72,74,79,88,104,112
"인천광역시","계","남자",1394025,1411329,1427323,1442354,1451459,1463157,1470977
"인천광역시","계","여자",1360714,1382425,1402285,1419887,1431409,1444209,1452882
"인천광역시","0 - 4세","남자",68215,69866,70088,70019,69984,68455,65298
"인천광역시","0 - 4세","여자",64151,66013,66280,66210,66351,65041,62361
"인천광역시","5 - 9세","남자",67743,66883,67947,67721,68011,69960,70097
"인천광역시","5 - 9세","여자",63369,62746,63921,63913,64577,66228,66623
"인천광역시","10 - 14세","남자",91026,86629,82155,78150,73011,68769,67198
"인천광역시","10 - 14세","여자",83875,80071,76096,72981,68401,64666,63208
"인천광역시","15 - 19세","남자",104904,103357,100193,96728,93327,90249,85950
"인천광역시","15 - 19세","여자",94620,92758,90116,87762,86519,84015,80210
"인천광역시","20 - 24세","남자",93798,97832,102299,104918,106460,106923,105527
"인천광역시","20 - 24세","여자",85404,89122,93010,95097,94641,94868,93575
"인천광역시","25 - 29세","남자",108635,103168,99783,99262,99917,101485,106000
"인천광역시","25 - 29세","여자",99772,95442,92221,90980,91708,92594,96086
"인천광역시","30 - 34세","남자",118386,122970,125199,124863,119633,114543,108764
"인천광역시","30 - 34세","여자",107609,112789,115425,115375,109958,104918,99142
"인천광역시","35 - 39세","남자",125907,122691,119891,118269,120162,123732,127309
"인천광역시","35 - 39세","여자",116828,113609,111141,109304,110901,114492,117552
"인천광역시","40 - 44세","남자",129009,131329,133590,133088,131091,126963,122801
"인천광역시","40 - 44세","여자",126752,128643,129764,127622,124852,120345,116108
"인천광역시","45 - 49세","남자",129126,127486,124003,127097,127358,129649,131724
"인천광역시","45 - 49세","여자",125674,124990,123753,128522,128630,130712,131786
"인천광역시","50 - 54세","남자",123394,128484,133030,132909,131465,127652,126347
"인천광역시","50 - 54세","여자",118151,123974,128889,129400,129084,126237,125907
"인천광역시","55 - 59세","남자",80637,87658,95946,105142,112550,121944,126176
"인천광역시","55 - 59세","여자",78232,85220,93677,102755,110066,119335,124065
"인천광역시","60 - 64세","남자",55109,57538,60245,63792,70135,78396,84852
"인천광역시","60 - 64세","여자",54563,56905,59615,63432,70659,79130,85764
"인천광역시","65 - 69세","남자",39714,41938,44212,47191,50709,53003,55256
"인천광역시","65 - 69세","여자",43812,45579,47233,50057,53210,55550,57298
"인천광역시","70 - 74세","남자",28776,31360,33848,35188,36677,37017,38957
"인천광역시","70 - 74세","여자",38330,40677,42999,43422,44325,43971,45622
"인천광역시","75 - 79세","남자",17203,18753,20366,22200,23554,24972,27476
"인천광역시","75 - 79세","여자",29110,30798,32500,34478,35629,36906,39234
"인천광역시","80세이상","남자",12443,13387,14528,15817,17415,19445,21245
"인천광역시","80세이상","여자",30462,33089,35645,38577,41898,45201,48341
"인천광역시","80 - 84세","남자",7795,8525,9363,10142,11335,12925,14206
"인천광역시","80 - 84세","여자",17951,19440,20780,22043,23717,25574,27161
"인천광역시","85 - 89세","남자",3462,3558,3630,4000,4315,4684,5135
"인천광역시","85 - 89세","여자",8900,9547,10216,11472,12589,13572,14532
"인천광역시","90 - 94세","남자",1022,1117,1326,1425,1446,1482,1509
"인천광역시","90 - 94세","여자",2960,3343,3786,4126,4496,4823,5263
"인천광역시","95 - 99세","남자",147,168,188,227,295,317,360
"인천광역시","95 - 99세","여자",570,666,761,826,967,1091,1229
"인천광역시","100세 이상","남자",17,19,21,23,24,37,35
"인천광역시","100세 이상","여자",81,93,102,110,129,141,156
"광주광역시","계","남자",748229,748890,748772,749276,750248,747452,744386
"광주광역시","계","여자",753822,754868,755063,755306,755658,754673,751006
"광주광역시","0 - 4세","남자",38693,38147,37387,36639,35969,34821,32961
"광주광역시","0 - 4세","여자",36039,35605,34934,34197,33753,32841,31068
"광주광역시","5 - 9세","남자",41517,40247,39776,38704,38439,38644,38256
"광주광역시","5 - 9세","여자",38192,36972,36631,36121,35748,36051,35757
"광주광역시","10 - 14세","남자",58096,55016,51657,48937,45228,41560,39893
"광주광역시","10 - 14세","여자",53552,50668,47509,44911,41565,38323,36783
"광주광역시","15 - 19세","남자",63308,62753,61831,60063,58858,56552,53550
"광주광역시","15 - 19세","여자",58412,58626,58434,57223,55523,53463,50756
"광주광역시","20 - 24세","남자",53384,55156,57441,59437,60684,61679,62193
"광주광역시","20 - 24세","여자",51957,52424,53274,54883,56809,57052,57213
"광주광역시","25 - 29세","남자",58394,54429,50683,48680,48744,48174,49866
"광주광역시","25 - 29세","여자",55901,52063,48809,46338,45596,44575,45498
"광주광역시","30 - 34세","남자",60676,61531,61713,60695,57785,54083,49929
"광주광역시","30 - 34세","여자",59784,60726,60578,58658,55100,51463,47143
"광주광역시","35 - 39세","남자",64982,63396,61221,59349,59272,59224,59244
"광주광역시","35 - 39세","여자",64086,62237,59894,58162,58365,58695,58907
"광주광역시","40 - 44세","남자",67135,68139,68826,68398,67526,64223,62346
"광주광역시","40 - 44세","여자",66649,67750,68749,68065,66831,63905,61762
"광주광역시","45 - 49세","남자",60933,61545,61364,64348,65707,66878,67392
"광주광역시","45 - 49세","여자",59981,60506,60573,63796,65109,66251,67229
"광주광역시","50 - 54세","남자",56630,58163,60002,59917,59321,59097,59919
