"행정구역별(1)",행정구역별(2),주민등록인구수(등록외국인포함) (명),합계,합계,합계,종합병원 (개),종합병원 (개),종합병원 (개),병원 (개),병원 (개),의원 (개),의원 (개),특수병원 (개),특수병원 (개),요양병원 (개),요양병원 (개),치과병(의)원 (개),치과병(의)원 (개),한방병원 (개),한방병원 (개),한의원 (개),한의원 (개),조산소 (개),조산소 (개),부속병·의원 (개),부속병·의원 (개),보건의료원 (개),보건소 (개),보건지소 (개),보건진료소 (개)
"행정구역별(1)",행정구역별(2),소계,병원수 (개),병상수 (개),병상확보율 (%),병원수,병상수,만명당종합병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,소계,소계,소계,소계
"행정구역별(1)",행정구역별(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
"총계",소계,52864414,65056,690474,1.31,341,148500,0.06,1370,148120,30532,71503,181,51250,1374,249180,16902,352,336,18423,13779,2549,28,60,213,537,15,215,1158,1691
"서울특별시",소계,10204057,16896,86543,0.85,57,33035,0.06,213,17625,8020,12004,16,3935,101,16693,4795,157,42,2416,3594,637,3,12,55,29,0,25,20,17
"서울특별시",종로구,161922,485,3310,2.04,4,2942,0.25,2,121,175,176,0,0,0,0,164,40,1,31,132,0,0,0,7,0,0,1,1,0
"서울특별시",중구,134409,540,1621,1.21,3,1048,0.22,3,275,217,245,0,0,0,0,212,0,1,53,88,0,0,0,16,0,0,1,1,3
"서울특별시",용산구,245102,298,968,0.39,1,706,0.04,2,192,123,65,0,0,0,0,106,0,0,0,63,0,1,5,2,0,0,1,1,0
"서울특별시",성동구,307161,394,1780,0.58,1,828,0.03,5,456,181,186,0,0,2,310,120,0,0,0,85,0,0,0,0,0,0,1,2,0
"서울특별시",광진구,372104,539,2310,0.62,2,1093,0.05,3,188,260,681,1,236,1,76,154,0,0,0,118,36,0,0,0,0,0,1,0,2
"서울특별시",동대문구,370312,599,6233,1.68,5,2050,0.14,13,1364,239,566,1,500,9,1468,156,26,1,240,174,14,1,5,0,0,0,1,1,0
"서울특별시",중랑구,415677,490,3238,0.78,2,976,0.05,14,1010,224,690,1,199,3,363,143,0,0,0,103,0,0,0,0,0,0,1,1,0
"서울특별시",성북구,461617,527,3050,0.66,1,1051,0.02,5,414,248,431,1,233,5,912,151,0,0,0,115,9,0,0,1,0,0,1,0,1
"서울특별시",강북구,330704,438,2058,0.62,1,208,0.03,8,791,217,440,2,148,3,450,119,3,0,0,88,18,0,0,0,0,0,1,1,0
"서울특별시",도봉구,350272,363,3040,0.87,1,449,0.03,5,522,158,184,4,834,7,856,102,0,2,195,83,0,0,0,1,0,0,1,0,1
"서울특별시",노원구,571212,712,3814,0.67,3,1738,0.05,7,438,340,425,1,125,6,1003,193,0,2,85,159,0,0,0,1,0,0,1,0,3
"서울특별시",은평구,495937,622,3550,0.72,1,200,0.02,11,815,293,531,2,761,6,1104,169,0,2,70,137,69,0,0,1,0,0,1,1,2
"서울특별시",서대문구,325871,431,3823,1.17,3,2642,0.09,5,269,203,342,0,0,3,435,122,7,1,108,94,20,0,0,0,0,0,1,2,1
"서울특별시",마포구,390887,702,757,0.19,0,0,0.00,1,157,343,302,0,0,2,211,197,0,1,33,158,54,0,0,0,0,0,1,1,0
"서울특별시",양천구,481845,613,2853,0.59,2,1100,0.04,5,764,274,479,0,0,3,279,177,5,3,168,149,58,0,0,0,0,0,1,1,1
"서울특별시",강서구,602104,739,3618,0.60,3,500,0.05,15,1188,343,585,0,0,6,1001,198,0,4,247,168,97,0,0,2,0,0,1,1,0
"서울특별시",구로구,449600,566,3866,0.86,2,1274,0.04,8,608,264,415,1,431,5,1039,170,0,1,67,112,29,1,2,2,1,0,1,0,0
"서울특별시",금천구,254654,336,1993,0.78,1,189,0.04,6,704,145,422,0,0,4,621,104,0,1,47,75,10,0,0,0,0,0,1,1,0
"서울특별시",영등포구,406779,724,5789,1.42,7,2061,0.17,10,1147,309,454,0,0,12,2032,230,0,2,95,145,0,0,0,9,0,0,1,1,0
"서울특별시",동작구,413247,559,2902,0.70,2,1599,0.05,5,401,250,297,0,0,3,522,167,0,1,30,131,53,0,0,0,0,0,1,1,0
"서울특별시",관악구,525607,666,2435,0.46,2,472,0.04,8,534,299,673,0,0,3,676,203,0,0,0,149,80,0,0,2,0,0,1,1,1
"서울특별시",서초구,451477,1216,3300,0.73,1,1356,0.02,10,959,590,417,0,0,3,364,320,6,5,193,280,5,0,0,7,0,0,1,0,1
"서울특별시",강남구,572140,2531,7828,1.37,4,3105,0.07,33,2107,1508,1524,0,0,3,544,598,60,8,444,377,44,0,0,0,0,0,1,1,0
"서울특별시",송파구,664946,1048,6602,0.99,2,3203,0.03,14,1247,474,741,1,213,7,1067,308,0,2,81,237,22,0,0,3,28,0,1,0,1
"서울특별시",강동구,448471,758,5805,1.29,3,2245,0.07,15,954,343,733,1,255,5,1360,212,10,4,229,174,19,0,0,1,0,0,1,1,0
"부산광역시",소계,3546887,4976,71046,2.00,29,13030,0.08,129,13345,2230,4705,19,5243,185,33814,1254,17,10,781,1107,92,3,6,10,13,1,16,10,5
"부산광역시",중구,47117,148,1827,3.88,1,413,0.21,2,111,72,109,0,0,7,1194,42,0,0,0,24,0,0,0,0,0,0,1,0,0
"부산광역시",서구,114752,145,5057,4.41,4,3467,0.35,3,294,61,183,0,0,5,964,34,0,1,133,37,16,0,0,0,0,0,1,0,0
"부산광역시",동구,91807,180,3086,3.36,3,856,0.33,6,632,74,95,0,0,5,1426,41,0,1,77,50,0,0,0,0,0,0,1,0,0
"부산광역시",영도구,128259,146,1687,1.32,2,531,0.16,1,30,76,83,0,0,5,1043,29,0,0,0,33,0,0,0,0,0,0,1,0,0
"부산광역시",부산진구,379309,761,6696,1.77,4,1923,0.11,16,1328,403,600,0,0,15,2703,165,8,1,134,156,0,0,0,1,0,0,1,0,0
"부산광역시",동래구,273939,449,6147,2.24,3,859,0.11,14,1142,175,411,3,563,15,3172,126,0,0,0,113,0,0,0,0,0,0,1,0,0
"부산광역시",남구,283070,347,3567,1.26,1,425,0.04,5,575,149,308,3,637,9,1619,92,3,0,0,88,0,0,0,0,0,0,1,0,0
"부산광역시",북구,312098,349,4722,1.51,2,622,0.06,8,808,156,322,1,298,17,2669,89,3,0,0,75,0,0,0,1,0,0,1,1,0
"부산광역시",해운대구,425036,615,6167,1.45,2,1116,0.05,11,977,293,817,2,439,19,2658,161,3,1,131,126,26,0,0,0,0,0,1,2,0
"부산광역시",사하구,339620,407,7577,2.23,0,0,0.00,21,2400,173,479,1,299,22,4348,103,0,1,30,86,21,0,0,0,0,0,1,0,0
"부산광역시",금정구,248908,339,5701,2.29,1,374,0.04,9,1080,139,245,2,675,19,3218,87,0,2,109,80,0,0,0,0,0,0,1,0,0
"부산광역시",강서구,114749,75,397,0.35,0,0,0.00,2,274,27,31,0,0,1,79,27,0,0,0,13,0,0,0,5,13,0,1,4,3
"부산광역시",연제구,208211,345,5336,2.56,1,502,0.05,10,1015,146,302,2,644,16,2765,88,0,2,73,77,29,2,6,1,0,1,1,0,0
"부산광역시",수영구,181016,279,4392,2.43,2,699,0.11,9,1027,108,175,0,0,12,2491,69,0,0,0,79,0,0,0,0,0,0,1,0,0
"부산광역시",사상구,238108,236,6723,2.82,2,967,0.08,8,1264,105,305,5,1688,12,2499,61,0,0,0,40,0,1,0,2,0,0,1,0,0
"부산광역시",기장군,160888,155,1964,1.22,1,276,0.06,4,388,73,240,0,0,6,966,40,0,1,94,30,0,0,0,0,0,0,1,3,2
"대구광역시",소계,2511050,3593,35963,1.43,12,6890,0.05,111,14837,1666,2962,1,369,63,10735,873,15,2,133,854,0,1,22,10,0,0,8,10,8
"대구광역시",중구,80497,424,3832,4.76,3,2069,0.37,9,876,224,382,0,0,3,436,112,15,1,54,71,0,0,0,1,0,0,1,0,0
"대구광역시",동구,353140,432,3878,1.10,1,744,0.03,10,1535,209,534,0,0,7,1065,97,0,0,0,106,0,0,0,2,0,0,1,0,0
"대구광역시",서구,201981,269,3782,1.87,1,544,0.05,8,1145,124,260,0,0,9,1833,55,0,0,0,72,0,0,0,0,0,0,1,0,0
"대구광역시",남구,157557,243,4476,2.84,2,1785,0.13,9,1364,102,153,0,0,9,1174,56,0,0,0,65,0,0,0,0,0,0,1,0,0
