"행정구역별(1)",행정구역별(2),주민등록인구수(등록외국인포함) (명),합계,합계,합계,종합병원 (개),종합병원 (개),종합병원 (개),병원 (개),병원 (개),의원 (개),의원 (개),특수병원 (개),특수병원 (개),요양병원 (개),요양병원 (개),치과병(의)원 (개),치과병(의)원 (개),한방병원 (개),한방병원 (개),한의원 (개),한의원 (개),조산소 (개),조산소 (개),부속병·의원 (개),부속병·의원 (개),보건의료원 (개),보건소 (개),보건지소 (개),보건진료소 (개)
"행정구역별(1)",행정구역별(2),소계,병원수 (개),병상수 (개),병상확보율 (%),병원수,병상수,만명당종합병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,소계,소계,소계,소계
"행정구역별(1)",행정구역별(2),2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"부산광역시",북구,310880,327,3970,1.28,1,413,0.03,7,880,152,434,1,298,15,1941,84,4,-,-,66,-,-,-,1,-,-,1,1,-
"부산광역시",해운대구,429109,550,5696,1.33,1,800,0.02,11,1023,270,908,1,299,22,2517,123,3,1,123,120,23,1,-,-,-,-,1,2,-
"부산광역시",사하구,353243,387,6577,1.86,-,-,-,20,2165,166,470,1,299,20,3622,99,-,-,-,81,21,-,-,-,-,-,1,-,-
"부산광역시",금정구,256015,332,5493,2.15,1,425,0.04,9,1109,132,309,2,695,18,2846,88,-,2,109,80,-,-,-,-,-,-,1,-,-
"부산광역시",강서구,74765,40,309,0.41,-,-,-,1,218,14,21,-,-,1,70,13,-,-,-,6,-,-,-,5,-,-,1,4,3
"부산광역시",연제구,210043,316,3827,1.82,1,497,0.05,6,461,139,396,1,540,13,1853,81,-,2,74,71,-,2,6,-,-,-,1,-,-
"부산광역시",수영구,176156,274,3542,2.01,2,699,0.11,8,905,107,224,-,-,9,1714,72,-,-,-,76,-,-,-,-,-,-,1,-,-
"부산광역시",사상구,251014,232,6401,2.55,2,965,0.08,8,1615,107,382,4,1051,14,2385,55,-,-,-,38,-,2,3,2,-,-,1,-,-
"부산광역시",기장군,134060,126,1613,1.20,1,299,0.07,2,221,60,218,-,-,8,808,28,-,1,67,26,-,-,-,-,-,-,1,3,2
"대구광역시",소계,2524890,3367,33240,1.32,11,6343,0.04,105,13849,1577,3240,3,730,59,8829,789,16,3,175,810,17,2,31,8,10,-,8,11,9
"대구광역시",중구,76963,395,3649,4.74,3,2060,0.39,9,796,212,338,-,-,3,440,97,15,-,-,70,-,-,-,1,-,-,1,-,-
"대구광역시",동구,345347,398,3325,0.96,1,702,0.03,5,1035,193,510,-,-,9,1050,86,1,-,-,102,17,-,-,2,10,-,1,-,-
"대구광역시",서구,217550,266,3637,1.67,1,470,0.05,9,1187,124,405,-,-,9,1575,55,-,-,-,68,-,-,-,-,-,-,1,-,-
"대구광역시",남구,167020,237,4432,2.65,2,1742,0.12,8,1162,101,188,-,-,10,1340,55,-,-,-,60,-,-,-,1,-,-,1,-,-
"대구광역시",북구,448841,503,5899,1.31,2,683,0.04,16,2608,230,739,1,369,9,1478,128,-,-,-,114,-,1,22,2,-,-,1,1,-
"대구광역시",수성구,462471,679,3347,0.72,-,-,0.00,21,1904,301,380,-,-,5,879,161,-,3,175,187,-,1,9,-,-,-,1,1,-
"대구광역시",달서구,618613,711,6782,1.10,2,686,0.03,31,4315,329,510,1,1,9,1270,171,-,-,-,168,-,-,-,-,-,-,1,1,-
"대구광역시",달성군,188085,178,2169,1.15,-,-,0.00,6,842,87,170,1,360,5,797,36,-,-,-,41,-,-,-,2,-,-,1,8,9
"인천광역시",소계,2930164,2865,29914,1.02,17,7223,0.06,50,6878,1375,5703,6,1169,56,7948,778,5,12,711,564,277,2,-,5,-,-,10,27,25
"인천광역시",중구,111611,95,1988,1.78,3,1444,0.27,-,-,43,159,-,-,3,385,32,-,-,-,14,-,-,-,-,-,-,1,2,1
"인천광역시",동구,76148,83,882,1.16,2,590,0.26,-,-,39,292,-,-,-,-,22,-,-,-,18,-,-,-,2,-,-,1,-,-
"인천광역시",미추홀구,418066,428,4538,1.09,2,620,0.05,8,1026,207,1120,-,-,11,1519,114,-,2,105,83,148,-,-,1,-,-,1,1,-
"인천광역시",연수구,304834,263,1660,0.54,2,496,0.07,3,286,127,379,-,-,3,455,75,-,1,44,52,-,-,-,-,-,-,1,-,-
"인천광역시",남동구,518781,602,6061,1.17,1,1392,0.02,12,1467,311,1348,-,-,10,1688,147,-,2,144,119,22,-,-,-,-,-,1,1,-
"인천광역시",부평구,565313,605,5168,0.91,2,1073,0.04,14,1916,289,812,-,-,7,1085,168,5,3,199,120,78,-,-,2,-,-,1,1,-
"인천광역시",계양구,346759,354,4131,1.19,1,469,0.03,6,833,161,659,3,640,11,1410,102,-,2,120,67,-,1,-,-,-,-,1,1,-
"인천광역시",서구,500468,375,4514,0.90,4,1139,0.08,5,1160,178,842,-,-,9,1245,103,-,2,99,73,29,1,-,-,-,-,1,1,-
"인천광역시",강화군,67358,54,934,1.39,-,-,-,1,160,19,84,3,529,2,161,13,-,-,-,16,-,-,-,-,-,-,1,12,14
