"","지점번호","지점명(한글)","예보구역코드","법정동코드"
"160",402,"강동","11B10100",1174010200
"161",403,"송파","11B10100",1171010100
"162",404,"강서","11B10100",1150010300
"163",405,"양천","11B10100",1147010200
"164",406,"도봉","11B10100",1132010600
"165",407,"노원","11B10100",1135010300
"166",408,"동대문","11B10100",1123010400
"167",409,"중랑","11B10100",1126010100
"168",410,"기상청","11B10100",1159010900
"169",411,"마포","11B10100",1144012300
"170",412,"서대문","11B10100",1141011400
"171",413,"광진","11B10100",1121510500
"172",414,"성북","11B10100",1129013300
"173",415,"용산","11B10100",1117012900
"174",416,"은평","11B10100",1138011100
"175",417,"금천","11B10100",1154510200
"176",418,"한강","11B10100",1156011000
"177",419,"중구","11B10100",1114014200
"178",421,"성동","11B10100",1120011400
"179",422,"북악산","11B10100",1111018300
"180",423,"구로","11B10100",1153010900
"181",424,"강북","11B10100",1130510300
"182",425,"남현","11B10100",1162010300
"183",430,"경기","11B20600",4111513600
"184",431,"신곡","11B20300",4115010400
"185",432,"인계","11B20600",4111511400
"186",433,"부천","11B20204",4119510800
"187",434,"안양","11B20602",4117300000
"188",435,"고잔","11B20200",4127310100
"189",436,"역삼","11B20600",4146010200
"190",437,"광명","11B10103",4121010200
"191",438,"군포","11B20610",4141010500
"192",439,"진안","11B20604",4159025021
"193",440,"설봉","11B20700",4150010300
"194",441,"김포","11B20102",4157010300
"195",442,"지월","11B20700",4161025329
"196",443,"보개","11B20600",4155031029
"197",444,"하남","11B20504",4145010600
"198",445,"의왕","11B20609",4143010100
"199",446,"남촌","11B20600",4137010100
"200",447,"북내","11B20700",4167036021
"201",448,"산북","11B20700",4167038021
"202",449,"옥천","11B20500",4183034021
"203",450,"주교","11B20300",4128110100
"204",451,"오남","11B20500",4136026221
"205",452,"신북","11B20400",4165034022
"206",453,"소하","11B10100",4121010400
"207",454,"하봉암","11B20400",4125011000
"208",455,"읍내","11B20400",4182025021
"209",456,"연천","11B20400",4180025021
"210",457,"춘궁","11B20500",4145011800
"211",458,"퇴촌","11B20700",4161034026
"212",459,"오포","11B20700",4161025024
"213",460,"실촌","11B20700",4161025627
"214",461,"마장","11B20700",4150034021
"215",462,"모가","11B20700",4150036021
"216",463,"흥천","11B20700",4167032000
"217",464,"점동","11B20700",4167031021
"218",465,"가남","11B20700",4167025021
"219",466,"금사","11B20700",4167033021
"220",467,"양성","11B20600",4155036021
"221",468,"서운","11B20600",4155033021
"222",469,"일죽","11B20600",4155039028
"223",470,"고삼","11B20600",4155042024
"224",471,"송탄","11B20600",4122010100
"225",472,"포승","11B20200",4122036022
"226",473,"가산","11B20400",4165033021
"227",474,"영북","11B20400",4165039021
"228",475,"관인","11B20400",4165040024
"229",476,"화현","11B20400",4165041021
"230",477,"상패","11B20400",4125011200
"231",478,"왕징","11B20400",4180035021
"232",479,"장남","11B20400",4180038021
"233",480,"미산","11B20400",4180034024
"234",481,"탄현","11B20300",4148032027
"235",482,"광탄","11B20300",4148035027
"236",483,"진동","11B20300",4148040021
"237",484,"창현","11B20500",4136025628
"238",485,"신천","11B20400",4182031021
"239",486,"외서","11B20400",4182032021
"240",487,"대곶","11B20100",4157034000
"241",488,"송산","11B20200",4159034023
"242",489,"서신","11B20200",4159035029
"243",490,"초성리","11B20400",4180032021
"244",491,"군남","11B20400",4180031023
"245",492,"학온동","11B10100",4121010700
"246",495,"하개정","11B20600",4155034023
"247",496,"세종금남","11C20400",3611034040
"248",497,"삽당령","11D20200",4215032025
"249",498,"구룡령","11D20200",4272039023
"250",499,"중면","11B20400",4180037021
"251",500,"양도","11B20100",2871035027
"252",501,"대연평","11A00102",2872038021
"253",502,"교동","11B20100",2871040021
"254",503,"도라산","11B20300",4148039024
"255",504,"포천","11B20403",4165010300
"256",505,"하면","11B20400",4182034021
"257",506,"금촌","11B20303",4148010200
"258",507,"창수","11B20400",4165035025
"259",508,"왕산","11B20200",2811014900
"260",509,"관악","11B10100",1162010200
"261",510,"영등포","11B10100",1156011700
"262",511,"공촌동","11B20200",2826010500
"263",512,"남동공단","11B20200",2818510500
"264",513,"덕적도","11B20200",2872035022
"265",514,"대부도","11B20200",4127013200
"266",515,"운평","11B20200",4159025623
"267",516,"안성","11B20611",4155012200
"268",517,"간성","11D20402",4282025022
"269",518,"해안","11D10200",4280034021
"270",519,"사내","11D10100",4279034021
"271",520,"설악동","11D20100",4221011200
"272",521,"강현","11D20403",4283035038
"273",522,"화촌","11D10300",4272031025
"274",523,"주문진","11D20500",4215025021
"275",524,"강문","11D20500",4215011300
"276",525,"봉평","11D10500",4276034021
"277",526,"평창","11D10503",4276025042
"278",527,"신동","11D10502",4277025921
"279",528,"백령면","11A00100",2872033021
"280",529,"원덕","11D20600",4223025332
"281",530,"태하","11E00100",4794031026
"282",531,"가평","11B20404",4182035021
"283",532,"의정부","11B20301",4115010500
"284",533,"신둔","11B20700",4150031000
"285",534,"장호원","11B20700",4150025023
"286",535,"서석","11D10300",4272034021
"287",536,"횡성","11D10402",4273025022
"288",537,"임계","11D20300",4277035026
"289",538,"신서","11B20400",4180036022
"290",539,"이동","11B20400",4165038021
"291",540,"고양","11B20302",4128111300
"292",541,"남양주","11B20502",4136037021
"293",542,"청평","11B20400",4182032024
"294",543,"영종도","11B20200",2811014600
"295",544,"전곡항","11B20200",4159035021
"296",545,"안산","11B20203",4127010300
"297",546,"광주","11B20702",4161010300
"298",547,"양동","11B20500",4183038021
"299",548,"여주","11B20703",4167011500
"300",549,"용인","11B20612",4146031023
"301",550,"오산","11B20603",4137011100
"302",551,"평택","11B20606",4122011800
"303",552,"김화","11D10100",4278025321
"304",553,"대진","11D20400",4282031021
"305",554,"미시령","11D20100",4282033033
"306",555,"화천","11D10102",4279032025
"307",556,"양구","11D10202",4280025032
"308",557,"기린","11D20100",4281033021
"309",558,"팔봉","11D10300",4272037023
"310",559,"내면","11D20200",4272039021
"311",560,"진부","11D20202",4276036000
"312",561,"청일","11D10400",4273035024
"313",562,"주천","11D10500",4275036021
"314",563,"북평","11D10500",4277034021
"315",565,"시흥","11B20202",4139013000
"316",566,"연곡","11D20500",4215037024
"317",567,"적성","11B20303",4148037024
"318",568,"일동","11B20400",4165037023
"319",569,"구리","11B20501",4131010700
"320",570,"금곡","11B20200",2826011800
"321",571,"화성","11B20200",4159010100
"322",572,"성남","11B20605",4113310600
"323",573,"청운","11B20500",4183037021
"324",574,"대신","11B20700",4167035038
"325",575,"이동","11B20600",4146035022
"326",576,"백암","11B20600",4146037021
"327",577,"장봉도","11B20200",2872031024
"328",578,"호도","11C20200",4418032029
"329",579,"하장","11D20300",4223032025
"330",580,"옥계","11D20500",4215035021
"331",581,"상동","11D10500",4275025321
"332",582,"신림","11D10400",4213039021
"333",583,"안흥","11D10400",4273032026
"334",585,"신남","11D10200",4281031021
"335",586,"북산","11D10300",4211038024
"336",587,"방산","11D10200",4280033026
"337",588,"남산","11D10300",4211040025
"338",589,"능곡","11B20300",4128311400
"339",590,"과천","11B10102",4129010500
"340",591,"치악산","11D10403",4213031028
"341",592,"부론","11D10400",4213035024
"342",593,"양양영덕","11D20100",4283031034
"343",594,"서화","11D20100",4281034023
"344",595,"진부령","11D20100",4282025037
"345",596,"오색","11D20100",4283031033
"346",597,"대화","11D10500",4276033022
"347",598,"양주","11B20304",4163033021
"348",599,"광릉","11B20400",4165025025
"349",600,"금왕","11C10100",4377025326
"350",601,"단양","11C10202",4380025025
"351",602,"진천","11C10102",4375025000
"352",603,"괴산","11C10303",4376025022
"353",604,"옥천","11C10403",4373025028
"354",605,"영동","11C10402",4374025028
"355",606,"대산","11C20100",4421025027
"356",607,"근흥","11C20100",4482533028
"357",608,"홍북","11C20104",4480031022
"358",609,"삽시도","11C20201",4418032028
"359",610,"홍성","11C20104",4480025025
"360",611,"세종연서","11C20404",3611036033
"361",612,"공주","11C20402",4415012100
"362",614,"서천","11C20202",4477031021
"363",615,"논산","11C20600",4423010800
"364",616,"당진","11C20103",4427010200
"365",617,"성거","11C20300",4413025333
"366",618,"청양","11C20502",4479025026
"367",619,"음성","11C10103",4377025022
"368",620,"엄정","11C10100",4313042022
"369",621,"수산","11C10200",4315033040
"370",622,"수안보","11C10100",4313032022
"371",623,"증평","11C10304",4374525031
"372",624,"상당","11C10300",4311132021
"373",625,"속리산","11C10300",4372031021
"374",626,"청산","11C10400",4373035021
"375",627,"태안","11C20102",4482525022
"376",628,"예산","11C20303",4481039021
"377",629,"세종전의","11C20400",3611037021
"378",630,"노은","11C10100",4313036027
"379",631,"송도","11B20200",2818510500
"380",632,"유구","11C20400",4415025023
"381",633,"정안","11C20400",4415037024
"382",634,"아산","11C20302",4420038027
"383",635,"양화","11C20500",4476040000
"384",636,"계룡","11C20403",4425032022
"385",637,"신평","11C20100",4427038033
"386",638,"영춘","11C10200",4380033021
"387",639,"덕산","11C10200",4315034021
"388",640,"청천","11C10300",4376036047
"389",641,"대청","11C10300",4311135022
