stn_id,area
912,경남
913,경남
914,경남
915,경남
916,경남
917,경남
918,경남
919,경남
920,경남
921,부산
922,경남
923,부산
924,울산
925,경남
926,경북
927,경남
929,경남
930,경남
931,경남
932,경남
933,경남
934,경남
935,경남
936,경남
937,부산
938,부산
939,부산
940,부산
941,부산
942,부산
943,울산
944,경남
945,경남
946,경남
947,경남
948,경남
949,울산
950,부산
951,전북
953,경남
954,울산
955,인천
956,충남
957,전북
958,전북
959,충남
960,제주
961,전남
962,부산
963,울산
966,인천
967,인천
968,부산
969,부산
