"행정구역","2012년07월_계_총인구수","2012년07월_계_연령구간인구수","2012년07월_계_45~49세","2012년07월_계_50~54세","2012년07월_계_55~59세","2012년07월_계_60~64세","2012년07월_계_65~69세","2012년07월_계_70~74세","2012년07월_계_75~79세","2012년07월_계_80~84세","2012년07월_계_85~89세","2012년07월_계_90~94세","2012년07월_계_95~99세","2012년07월_계_100세 이상","2012년07월_남_총인구수","2012년07월_남_연령구간인구수","2012년07월_남_45~49세","2012년07월_남_50~54세","2012년07월_남_55~59세","2012년07월_남_60~64세","2012년07월_남_65~69세","2012년07월_남_70~74세","2012년07월_남_75~79세","2012년07월_남_80~84세","2012년07월_남_85~89세","2012년07월_남_90~94세","2012년07월_남_95~99세","2012년07월_남_100세 이상","2012년07월_여_총인구수","2012년07월_여_연령구간인구수","2012년07월_여_45~49세","2012년07월_여_50~54세","2012년07월_여_55~59세","2012년07월_여_60~64세","2012년07월_여_65~69세","2012년07월_여_70~74세","2012년07월_여_75~79세","2012년07월_여_80~84세","2012년07월_여_85~89세","2012년07월_여_90~94세","2012년07월_여_95~99세","2012년07월_여_100세 이상","2012년08월_계_총인구수","2012년08월_계_연령구간인구수","2012년08월_계_45~49세","2012년08월_계_50~54세","2012년08월_계_55~59세","2012년08월_계_60~64세","2012년08월_계_65~69세","2012년08월_계_70~74세","2012년08월_계_75~79세","2012년08월_계_80~84세","2012년08월_계_85~89세","2012년08월_계_90~94세","2012년08월_계_95~99세","2012년08월_계_100세 이상","2012년08월_남_총인구수","2012년08월_남_연령구간인구수","2012년08월_남_45~49세","2012년08월_남_50~54세","2012년08월_남_55~59세","2012년08월_남_60~64세","2012년08월_남_65~69세","2012년08월_남_70~74세","2012년08월_남_75~79세","2012년08월_남_80~84세","2012년08월_남_85~89세","2012년08월_남_90~94세","2012년08월_남_95~99세","2012년08월_남_100세 이상","2012년08월_여_총인구수","2012년08월_여_연령구간인구수","2012년08월_여_45~49세","2012년08월_여_50~54세","2012년08월_여_55~59세","2012년08월_여_60~64세","2012년08월_여_65~69세","2012년08월_여_70~74세","2012년08월_여_75~79세","2012년08월_여_80~84세","2012년08월_여_85~89세","2012년08월_여_90~94세","2012년08월_여_95~99세","2012년08월_여_100세 이상","2012년09월_계_총인구수","2012년09월_계_연령구간인구수","2012년09월_계_45~49세","2012년09월_계_50~54세","2012년09월_계_55~59세","2012년09월_계_60~64세","2012년09월_계_65~69세","2012년09월_계_70~74세","2012년09월_계_75~79세","2012년09월_계_80~84세","2012년09월_계_85~89세","2012년09월_계_90~94세","2012년09월_계_95~99세","2012년09월_계_100세 이상","2012년09월_남_총인구수","2012년09월_남_연령구간인구수","2012년09월_남_45~49세","2012년09월_남_50~54세","2012년09월_남_55~59세","2012년09월_남_60~64세","2012년09월_남_65~69세","2012년09월_남_70~74세","2012년09월_남_75~79세","2012년09월_남_80~84세","2012년09월_남_85~89세","2012년09월_남_90~94세","2012년09월_남_95~99세","2012년09월_남_100세 이상","2012년09월_여_총인구수","2012년09월_여_연령구간인구수","2012년09월_여_45~49세","2012년09월_여_50~54세","2012년09월_여_55~59세","2012년09월_여_60~64세","2012년09월_여_65~69세","2012년09월_여_70~74세","2012년09월_여_75~79세","2012년09월_여_80~84세","2012년09월_여_85~89세","2012년09월_여_90~94세","2012년09월_여_95~99세","2012년09월_여_100세 이상"
"전국  (0000000000)","50,851,082","20,144,159","4,230,900","4,370,300","3,272,041","2,399,184","1,907,001","1,715,036","1,173,569","643,887","292,890","102,253","24,918","12,180","25,460,414","9,591,795","2,167,507","2,205,878","1,629,704","1,175,008","893,934","751,664","454,399","202,418","78,930","24,531","5,004","2,818","25,390,668","10,552,364","2,063,393","2,164,422","1,642,337","1,224,176","1,013,067","963,372","719,170","441,469","213,960","77,722","19,914","9,362","50,871,606","20,191,859","4,221,634","4,361,980","3,307,074","2,407,085","1,906,342","1,728,846","1,176,721","647,514","294,217","103,154","25,006","12,286","25,469,682","9,615,054","2,161,513","2,202,304","1,647,929","1,178,906","894,090","758,504","456,089","203,796","79,289","24,753","5,045","2,836","25,401,924","10,576,805","2,060,121","2,159,676","1,659,145","1,228,179","1,012,252","970,342","720,632","443,718","214,928","78,401","19,961","9,450","50,891,223","20,240,203","4,213,103","4,369,117","3,326,265","2,413,219","1,907,688","1,740,291","1,180,851","651,353","296,489","104,182","25,227","12,418","25,478,622","9,638,621","2,155,934","2,206,298","1,658,178","1,182,204","895,276","763,928","458,501","205,462","79,975","24,901","5,103","2,861","25,412,601","10,601,582","2,057,169","2,162,819","1,668,087","1,231,015","1,012,412","976,363","722,350","445,891","216,514","79,281","20,124","9,557"
"서울특별시  (1100000000)","10,227,761","3,975,472","819,350","866,377","696,176","511,002","401,195","313,809","188,745","102,066","49,096","18,606","5,297","3,753","5,059,710","1,883,059","409,969","421,613","334,530","245,965","192,054","147,378","77,299","33,562","13,514","4,984","1,235","956","5,168,051","2,092,413","409,381","444,764","361,646","265,037","209,141","166,431","111,446","68,504","35,582","13,622","4,062","2,797","10,223,243","3,981,518","817,099","862,425","702,403","512,182","401,497","316,978","189,293","102,636","49,177","18,744","5,299","3,785","5,057,182","1,886,012","408,648","419,928","337,525","246,557","192,034","149,059","77,643","33,873","13,521","5,015","1,249","960","5,166,061","2,095,506","408,451","442,497","364,878","265,625","209,463","167,919","111,650","68,763","35,656","13,729","4,050","2,825","10,219,334","3,987,967","815,243","861,585","705,492","512,975","402,171","319,385","190,333","103,204","49,511","18,901","5,348","3,819","5,054,851","1,889,059","407,466","419,644","339,035","247,126","192,096","150,333","78,289","34,178","13,641","5,023","1,257","971","5,164,483","2,098,908","407,777","441,941","366,457","265,849","210,075","169,052","112,044","69,026","35,870","13,878","4,091","2,848"
"부산광역시  (2600000000)","3,542,218","1,557,967","291,086","339,863","283,175","211,695","155,402","128,624","79,392","42,437","18,095","5,614","1,446","1,138","1,756,971","731,386","143,266","164,500","138,207","103,008","74,615","57,707","31,064","12,880","4,398","1,235","258","248","1,785,247","826,581","147,820","175,363","144,968","108,687","80,787","70,917","48,328","29,557","13,697","4,379","1,188","890","3,541,431","1,560,560","289,920","338,645","285,414","212,463","155,575","129,843","79,543","42,678","18,208","5,678","1,449","1,144","1,756,404","732,621","142,687","163,944","139,294","103,417","74,575","58,348","31,198","12,987","4,406","1,255","262","248","1,785,027","827,939","147,233","174,701","146,120","109,046","81,000","71,495","48,345","29,691","13,802","4,423","1,187","896","3,540,802","1,563,160","288,889","338,375","286,473","213,083","156,111","130,698","79,864","42,913","18,408","5,718","1,469","1,159","1,756,003","733,762","142,076","163,803","139,815","103,716","74,812","58,791","31,365","13,139","4,461","1,261","271","252","1,784,799","829,398","146,813","174,572","146,658","109,367","81,299","71,907","48,499","29,774","13,947","4,457","1,198","907"
"대구광역시  (2700000000)","2,506,969","1,005,462","220,133","223,629","167,861","125,183","90,127","80,512","53,638","27,704","11,692","3,744","839","400","1,250,452","471,434","109,272","110,674","82,030","60,175","41,182","34,619","20,786","8,597","3,070","799","146","84","1,256,517","534,028","110,861","112,955","85,831","65,008","48,945","45,893","32,852","19,107","8,622","2,945","693","316","2,507,715","1,008,179","219,834","223,419","169,300","125,907","89,938","81,337","53,710","27,902","11,803","3,772","856","401","1,250,650","472,687","109,027","110,571","82,813","60,484","41,167","34,966","20,801","8,688","3,128","804","154","84","1,257,065","535,492","110,807","112,848","86,487","65,423","48,771","46,371","32,909","19,214","8,675","2,968","702","317","2,507,791","1,010,615","219,515","223,755","170,032","126,389","90,085","81,870","53,847","28,100","11,934","3,815","870","403","1,250,552","473,824","108,833","110,736","83,230","60,704","41,294","35,192","20,864","8,752","3,167","812","157","83","1,257,239","536,791","110,682","113,019","86,802","65,685","48,791","46,678","32,983","19,348","8,767","3,003","713","320"
"인천광역시  (2800000000)","2,824,150","1,060,908","254,180","257,096","173,827","115,323","89,172","73,818","49,564","28,263","13,331","4,744","1,100","490","1,421,784","514,646","129,112","131,846","88,666","57,991","42,480","32,146","18,711","8,493","3,564","1,269","238","130","1,402,366","546,262","125,068","125,250","85,161","57,332","46,692","41,672","30,853","19,770","9,767","3,475","862","360","2,828,342","1,064,319","253,510","256,946","176,245","115,751","89,367","74,469","49,797","28,474","13,402","4,761","1,105","492","1,423,909","516,330","128,702","131,785","89,867","58,226","42,635","32,524","18,770","8,595","3,580","1,273","242","131","1,404,433","547,989","124,808","125,161","86,378","57,525","46,732","41,945","31,027","19,879","9,822","3,488","863","361","2,831,729","1,067,674","252,683","257,840","177,654","116,235","89,687","74,958","49,991","28,676","13,528","4,811","1,108","503","1,425,557","517,881","128,168","132,263","90,558","58,492","42,820","32,768","18,891","8,659","3,603","1,284","243","132","1,406,172","549,793","124,515","125,577","87,096","57,743","46,867","42,190","31,100","20,017","9,925","3,527","865","371"
"광주광역시  (2900000000)","1,467,030","516,634","119,547","114,085","79,096","62,454","48,307","41,094","26,666","15,176","6,898","2,476","573","262","727,255","242,150","60,065","56,068","38,475","29,823","22,666","17,928","10,141","4,690","1,748","440","70","36","739,775","274,484","59,482","58,017","40,621","32,631","25,641","23,166","16,525","10,486","5,150","2,036","503","226","1,467,979","518,303","119,376","113,857","80,347","62,581","48,259","41,515","26,826","15,252","6,935","2,510","577","268","727,763","242,916","59,940","55,959","39,112","29,919","22,593","18,175","10,182","4,719","1,760","449","71","37","740,216","275,387","59,436","57,898","41,235","32,662","25,666","23,340","16,644","10,533","5,175","2,061","506","231","1,468,777","519,882","119,403","114,094","80,962","62,577","48,304","41,924","26,922","15,300","6,999","2,543","584","270","728,097","243,671","59,874","56,102","39,459","29,922","22,624","18,377","10,225","4,731","1,789","458","73","37","740,680","276,211","59,529","57,992","41,503","32,655","25,680","23,547","16,697","10,569","5,210","2,085","511","233"
"대전광역시  (3000000000)","1,522,581","550,284","124,567","128,615","93,095","63,696","47,111","40,390","27,497","15,128","7,007","2,359","598","221","762,642","263,513","62,769","64,113","46,702","31,588","22,355","17,827","10,671","4,787","1,914","609","130","48","759,939","286,771","61,798","64,502","46,393","32,108","24,756","22,563","16,826","10,341","5,093","1,750","468","173","1,522,189","551,563","124,211","128,315","94,170","64,026","47,058","40,685","27,606","15,217","7,071","2,375","606","223","762,435","264,117","62,540","63,984","47,216","31,783","22,331","17,971","10,727","4,827","1,939","615","135","49","759,754","287,446","61,671","64,331","46,954","32,243","24,727","22,714","16,879","10,390","5,132","1,760","471","174","1,522,880","553,164","124,149","128,483","94,840","64,305","47,010","41,014","27,711","15,279","7,152","2,390","609","222","762,885","264,903","62,450","64,102","47,541","31,943","22,332","18,099","10,822","4,841","1,966","617","141","49","759,995","288,261","61,699","64,381","47,299","32,362","24,678","22,915","16,889","10,438","5,186","1,773","468","173"
"울산광역시  (3100000000)","1,141,483","415,184","107,350","104,800","72,689","46,903","30,254","23,878","15,307","8,450","3,922","1,242","298","91","587,424","206,184","55,648","54,158","37,557","24,478","14,904","10,611","5,529","2,274","738","231","43","13","554,059","209,000","51,702","50,642","35,132","22,425","15,350","13,267","9,778","6,176","3,184","1,011","255","78","1,142,528","416,538","107,177","104,794","73,479","47,198","30,340","24,125","15,345","8,481","3,951","1,250","306","92","587,910","206,837","55,520","54,220","37,907","24,605","14,974","10,735","5,562","2,279","748","226","48","13","554,618","209,701","51,657","50,574","35,572","22,593","15,366","13,390","9,783","6,202","3,203","1,024","258","79","1,143,464","417,923","106,925","105,195","73,926","47,483","30,441","24,398","15,379","8,514","3,988","1,274","306","94","588,361","207,475","55,293","54,431","38,143","24,731","15,060","10,880","5,591","2,297","759","227","50","13","555,103","210,448","51,632","50,764","35,783","22,752","15,381","13,518","9,788","6,217","3,229","1,047","256","81"
"세종특별자치시  (3600000000)","103,127","45,462","7,607","8,565","7,070","5,465","4,575","4,818","3,791","2,152","985","316","82","36","52,624","21,840","4,132","4,556","3,634","2,713","2,115","2,080","1,520","697","287","75","15","16","50,503","23,622","3,475","4,009","3,436","2,752","2,460","2,738","2,271","1,455","698","241","67","20","106,625","46,092","7,786","8,662","7,209","5,535","4,569","4,910","3,800","2,179","1,001","324","81","36","54,338","22,146","4,231","4,602","3,704","2,745","2,106","2,132","1,517","703","297","78","15","16","52,287","23,946","3,555","4,060","3,505","2,790","2,463","2,778","2,283","1,476","704","246","66","20","108,027","46,440","7,859","8,737","7,292","5,589","4,550","4,964","3,801","2,197","995","336","83","37","55,022","22,314","4,276","4,630","3,770","2,760","2,097","2,152","1,517","703","299","80","15","15","53,005","24,126","3,583","4,107","3,522","2,829","2,453","2,812","2,284","1,494","696","256","68","22"
"경기도  (4100000000)","12,021,422","4,301,260","1,050,462","1,003,155","678,717","458,449","370,937","322,148","218,123","117,964","54,770","19,661","4,658","2,216","6,057,142","2,098,146","544,158","520,299","345,705","225,777","173,347","142,212","86,119","38,337","15,368","5,202","1,022","600","5,964,280","2,203,114","506,304","482,856","333,012","232,672","197,590","179,936","132,004","79,627","39,402","14,459","3,636","1,616","12,035,714","4,315,939","1,049,098","1,003,268","687,567","460,460","371,304","324,836","219,047","118,618","54,956","19,849","4,716","2,220","6,064,456","2,105,221","542,979","520,385","350,448","226,775","173,657","143,483","86,634","38,550","15,415","5,259","1,033","603","5,971,258","2,210,718","506,119","482,883","337,119","233,685","197,647","181,353","132,413","80,068","39,541","14,590","3,683","1,617","12,047,601","4,330,666","1,047,849","1,006,873","692,983","462,055","371,969","326,969","220,018","119,547","55,330","20,077","4,755","2,241","6,070,096","2,112,233","541,901","522,259","353,257","227,659","174,119","144,459","87,127","38,986","15,509","5,305","1,043","609","5,977,505","2,218,433","505,948","484,614","339,726","234,396","197,850","182,510","132,891","80,561","39,821","14,772","3,712","1,632"
