"행정구역","2013년10월_계_총인구수","2013년10월_계_연령구간인구수","2013년10월_계_45~49세","2013년10월_계_50~54세","2013년10월_계_55~59세","2013년10월_계_60~64세","2013년10월_계_65~69세","2013년10월_계_70~74세","2013년10월_계_75~79세","2013년10월_계_80~84세","2013년10월_계_85~89세","2013년10월_계_90~94세","2013년10월_계_95~99세","2013년10월_계_100세 이상","2013년10월_남_총인구수","2013년10월_남_연령구간인구수","2013년10월_남_45~49세","2013년10월_남_50~54세","2013년10월_남_55~59세","2013년10월_남_60~64세","2013년10월_남_65~69세","2013년10월_남_70~74세","2013년10월_남_75~79세","2013년10월_남_80~84세","2013년10월_남_85~89세","2013년10월_남_90~94세","2013년10월_남_95~99세","2013년10월_남_100세 이상","2013년10월_여_총인구수","2013년10월_여_연령구간인구수","2013년10월_여_45~49세","2013년10월_여_50~54세","2013년10월_여_55~59세","2013년10월_여_60~64세","2013년10월_여_65~69세","2013년10월_여_70~74세","2013년10월_여_75~79세","2013년10월_여_80~84세","2013년10월_여_85~89세","2013년10월_여_90~94세","2013년10월_여_95~99세","2013년10월_여_100세 이상","2013년11월_계_총인구수","2013년11월_계_연령구간인구수","2013년11월_계_45~49세","2013년11월_계_50~54세","2013년11월_계_55~59세","2013년11월_계_60~64세","2013년11월_계_65~69세","2013년11월_계_70~74세","2013년11월_계_75~79세","2013년11월_계_80~84세","2013년11월_계_85~89세","2013년11월_계_90~94세","2013년11월_계_95~99세","2013년11월_계_100세 이상","2013년11월_남_총인구수","2013년11월_남_연령구간인구수","2013년11월_남_45~49세","2013년11월_남_50~54세","2013년11월_남_55~59세","2013년11월_남_60~64세","2013년11월_남_65~69세","2013년11월_남_70~74세","2013년11월_남_75~79세","2013년11월_남_80~84세","2013년11월_남_85~89세","2013년11월_남_90~94세","2013년11월_남_95~99세","2013년11월_남_100세 이상","2013년11월_여_총인구수","2013년11월_여_연령구간인구수","2013년11월_여_45~49세","2013년11월_여_50~54세","2013년11월_여_55~59세","2013년11월_여_60~64세","2013년11월_여_65~69세","2013년11월_여_70~74세","2013년11월_여_75~79세","2013년11월_여_80~84세","2013년11월_여_85~89세","2013년11월_여_90~94세","2013년11월_여_95~99세","2013년11월_여_100세 이상","2013년12월_계_총인구수","2013년12월_계_연령구간인구수","2013년12월_계_45~49세","2013년12월_계_50~54세","2013년12월_계_55~59세","2013년12월_계_60~64세","2013년12월_계_65~69세","2013년12월_계_70~74세","2013년12월_계_75~79세","2013년12월_계_80~84세","2013년12월_계_85~89세","2013년12월_계_90~94세","2013년12월_계_95~99세","2013년12월_계_100세 이상","2013년12월_남_총인구수","2013년12월_남_연령구간인구수","2013년12월_남_45~49세","2013년12월_남_50~54세","2013년12월_남_55~59세","2013년12월_남_60~64세","2013년12월_남_65~69세","2013년12월_남_70~74세","2013년12월_남_75~79세","2013년12월_남_80~84세","2013년12월_남_85~89세","2013년12월_남_90~94세","2013년12월_남_95~99세","2013년12월_남_100세 이상","2013년12월_여_총인구수","2013년12월_여_연령구간인구수","2013년12월_여_45~49세","2013년12월_여_50~54세","2013년12월_여_55~59세","2013년12월_여_60~64세","2013년12월_여_65~69세","2013년12월_여_70~74세","2013년12월_여_75~79세","2013년12월_여_80~84세","2013년12월_여_85~89세","2013년12월_여_90~94세","2013년12월_여_95~99세","2013년12월_여_100세 이상"
"전국  (0000000000)","51,115,702","20,978,831","4,274,899","4,441,435","3,574,758","2,479,108","1,966,796","1,806,545","1,258,156","699,645","317,427","119,793","26,644","13,625","25,577,637","10,000,304","2,174,225","2,247,943","1,787,726","1,214,090","932,562","797,962","497,303","226,220","85,105","28,567","5,441","3,160","25,538,065","10,978,527","2,100,674","2,193,492","1,787,032","1,265,018","1,034,234","1,008,583","760,853","473,425","232,322","91,226","21,203","10,465","51,127,984","21,026,827","4,293,443","4,424,093","3,598,677","2,482,930","1,974,749","1,806,455","1,263,965","702,237","320,305","119,659","26,624","13,690","25,582,749","10,024,173","2,183,398","2,239,077","1,800,210","1,215,598","937,223","797,751","500,256","227,668","85,839","28,548","5,436","3,169","25,545,235","11,002,654","2,110,045","2,185,016","1,798,467","1,267,332","1,037,526","1,008,704","763,709","474,569","234,466","91,111","21,188","10,521","51,141,463","21,083,187","4,320,277","4,404,070","3,621,186","2,486,668","1,985,888","1,803,037","1,269,763","708,188","323,430","120,230","26,657","13,793","25,588,336","10,051,722","2,196,548","2,228,829","1,812,276","1,216,918","943,198","796,139","503,314","230,472","86,751","28,645","5,438","3,194","25,553,127","11,031,465","2,123,729","2,175,241","1,808,910","1,269,750","1,042,690","1,006,898","766,449","477,716","236,679","91,585","21,219","10,599"
"서울특별시  (1100000000)","10,162,099","4,086,941","815,855","856,990","740,078","520,973","416,131","337,644","205,755","109,623","52,694","21,383","5,600","4,215","5,017,958","1,936,025","405,996","419,221","355,936","250,212","197,943","159,470","86,974","37,638","14,438","5,800","1,311","1,086","5,144,141","2,150,916","409,859","437,769","384,142","270,761","218,188","178,174","118,781","71,985","38,256","15,583","4,289","3,129","10,154,180","4,092,606","818,447","852,589","743,297","521,270","417,456","338,235","207,020","109,887","53,212","21,350","5,610","4,233","5,013,816","1,938,798","407,253","417,135","357,449","250,335","198,608","159,622","87,741","37,856","14,599","5,790","1,319","1,091","5,140,364","2,153,808","411,194","435,454","385,848","270,935","218,848","178,613","119,279","72,031","38,613","15,560","4,291","3,142","10,143,645","4,098,944","822,093","848,087","745,718","521,338","419,597","338,261","208,188","110,709","53,599","21,474","5,614","4,266","5,007,869","1,941,940","409,041","415,171","358,765","250,234","199,550","159,511","88,346","38,352","14,741","5,806","1,330","1,093","5,135,776","2,157,004","413,052","432,916","386,953","271,104","220,047","178,750","119,842","72,357","38,858","15,668","4,284","3,173"
"부산광역시  (2600000000)","3,530,579","1,602,381","286,367","334,031","300,435","218,047","163,159","139,270","85,807","45,548","20,270","6,658","1,503","1,286","1,748,576","751,670","140,481","161,783","146,530","105,669","78,215","63,061","34,372","14,597","4,909","1,502","277","274","1,782,003","850,711","145,886","172,248","153,905","112,378","84,944","76,209","51,435","30,951","15,361","5,156","1,226","1,012","3,529,884","1,605,021","287,490","332,123","301,763","218,329","163,862","139,419","86,451","45,713","20,433","6,664","1,484","1,290","1,748,171","752,876","141,012","160,821","147,248","105,719","78,528","63,161","34,693","14,692","4,951","1,496","278","277","1,781,713","852,145","146,478","171,302","154,515","112,610","85,334","76,258","51,758","31,021","15,482","5,168","1,206","1,013","3,527,635","1,607,430","288,735","329,763","302,788","218,728","164,940","139,282","86,991","46,012","20,729","6,683","1,480","1,299","1,747,000","753,871","141,587","159,548","147,913","105,749","79,042","63,116","34,992","14,860","5,008","1,498","277","281","1,780,635","853,559","147,148","170,215","154,875","112,979","85,898","76,166","51,999","31,152","15,721","5,185","1,203","1,018"
"대구광역시  (2700000000)","2,503,648","1,046,257","221,928","229,193","177,647","130,867","93,416","86,421","57,670","30,409","13,111","4,236","904","455","1,247,204","490,700","109,658","113,238","87,642","62,608","43,120","37,435","22,610","9,702","3,495","919","176","97","1,256,444","555,557","112,270","115,955","90,005","68,259","50,296","48,986","35,060","20,707","9,616","3,317","728","358","2,503,283","1,048,422","222,799","228,401","178,742","130,781","93,837","86,550","57,901","30,597","13,177","4,278","900","459","1,246,930","491,751","110,111","112,791","88,207","62,597","43,348","37,484","22,706","9,802","3,509","928","169","99","1,256,353","556,671","112,688","115,610","90,535","68,184","50,489","49,066","35,195","20,795","9,668","3,350","731","360","2,501,588","1,050,953","224,025","227,212","179,790","130,680","94,589","86,649","58,111","30,873","13,332","4,326","906","460","1,246,071","493,051","110,740","112,204","88,788","62,552","43,749","37,487","22,843","9,929","3,562","926","171","100","1,255,517","557,902","113,285","115,008","91,002","68,128","50,840","49,162","35,268","20,944","9,770","3,400","735","360"
"인천광역시  (2800000000)","2,873,451","1,119,412","254,730","265,892","197,305","121,429","94,326","78,931","54,173","30,806","14,464","5,560","1,226","570","1,445,689","542,149","127,763","136,289","100,360","61,113","45,510","34,864","21,048","9,551","3,713","1,527","265","146","1,427,762","577,263","126,967","129,603","96,945","60,316","48,816","44,067","33,125","21,255","10,751","4,033","961","424","2,876,797","1,122,918","255,841","265,004","199,016","121,756","94,848","79,036","54,514","30,930","14,604","5,583","1,219","567","1,447,443","543,872","128,303","135,799","101,294","61,251","45,727","34,955","21,227","9,619","3,762","1,522","268","145","1,429,354","579,046","127,538","129,205","97,722","60,505","49,121","44,081","33,287","21,311","10,842","4,061","951","422","2,879,782","1,126,970","257,450","263,951","200,870","122,228","95,278","78,991","54,839","31,163","14,791","5,601","1,233","575","1,448,835","545,693","129,112","135,148","102,189","61,461","45,964","34,977","21,388","9,716","3,801","1,524","264","149","1,430,947","581,277","128,338","128,803","98,681","60,767","49,314","44,014","33,451","21,447","10,990","4,077","969","426"
"광주광역시  (2900000000)","1,473,576","541,829","122,312","117,268","88,216","63,295","50,664","43,698","28,975","16,199","7,341","2,943","646","272","730,586","254,453","61,122","58,038","42,991","30,208","23,777","19,327","11,326","5,066","1,958","534","75","31","742,990","287,376","61,190","59,230","45,225","33,087","26,887","24,371","17,649","11,133","5,383","2,409","571","241","1,473,689","543,350","122,900","117,092","88,741","63,373","51,038","43,634","29,101","16,240","7,400","2,916","639","276","730,623","255,221","61,430","57,962","43,251","30,227","23,975","19,260","11,412","5,087","1,972","538","76","31","743,066","288,129","61,470","59,130","45,490","33,146","27,063","24,374","17,689","11,153","5,428","2,378","563","245","1,472,910","545,047","123,573","116,876","89,325","63,399","51,426","43,555","29,172","16,404","7,481","2,923","643","270","730,216","256,071","61,744","57,858","43,560","30,235","24,177","19,216","11,484","5,143","2,011","533","79","31","742,694","288,976","61,829","59,018","45,765","33,164","27,249","24,339","17,688","11,261","5,470","2,390","564","239"
"대전광역시  (3000000000)","1,532,456","576,824","128,311","130,313","102,226","66,639","49,103","42,733","29,694","16,528","7,606","2,798","639","234","767,235","276,230","64,066","65,132","51,089","33,116","23,618","19,006","11,838","5,349","2,123","707","130","56","765,221","300,594","64,245","65,181","51,137","33,523","25,485","23,727","17,856","11,179","5,483","2,091","509","178","1,533,114","578,383","128,925","129,966","102,801","66,724","49,415","42,755","29,809","16,619","7,686","2,809","640","234","767,527","276,932","64,351","64,937","51,356","33,182","23,764","19,019","11,900","5,380","2,149","703","135","56","765,587","301,451","64,574","65,029","51,445","33,542","25,651","23,736","17,909","11,239","5,537","2,106","505","178","1,532,811","580,130","129,923","129,220","103,534","66,802","49,748","42,739","29,917","16,789","7,765","2,806","652","235","767,309","277,758","64,873","64,509","51,740","33,189","23,956","19,010","11,942","5,458","2,191","700","137","53","765,502","302,372","65,050","64,711","51,794","33,613","25,792","23,729","17,975","11,331","5,574","2,106","515","182"
"울산광역시  (3100000000)","1,154,956","438,575","108,923","108,106","80,491","50,457","32,538","26,320","16,498","9,156","4,211","1,482","289","104","594,585","217,495","55,629","56,028","41,492","26,155","16,341","11,976","6,139","2,620","808","242","51","14","560,371","221,080","53,294","52,078","38,999","24,302","16,197","14,344","10,359","6,536","3,403","1,240","238","90","1,155,867","440,080","109,514","107,692","81,208","50,637","32,762","26,372","16,558","9,203","4,269","1,472","289","104","595,076","218,269","55,917","55,846","41,869","26,201","16,476","12,020","6,170","2,645","822","239","50","14","560,791","221,811","53,597","51,846","39,339","24,436","16,286","14,352","10,388","6,558","3,447","1,233","239","90","1,156,480","441,624","110,209","107,264","81,750","50,880","33,045","26,381","16,616","9,299","4,303","1,486","282","109","595,319","218,969","56,195","55,617","42,156","26,303","16,623","12,039","6,218","2,677","835","241","48","17","561,161","222,655","54,014","51,647","39,594","24,577","16,422","14,342","10,398","6,622","3,468","1,245","234","92"
"세종특별자치시  (3600000000)","118,745","49,974","8,741","9,454","8,069","5,928","4,676","5,099","3,986","2,397","1,097","389","98","40","60,573","24,226","4,746","5,050","4,238","2,947","2,183","2,203","1,643","771","310","99","19","17","58,172","25,748","3,995","4,404","3,831","2,981","2,493","2,896","2,343","1,626","787","290","79","23","119,309","50,198","8,835","9,446","8,150","5,932","4,720","5,051","4,017","2,423","1,100","387","97","40","60,841","24,354","4,801","5,059","4,281","2,935","2,213","2,188","1,659","777","308","101","15","17","58,468","25,844","4,034","4,387","3,869","2,997","2,507","2,863","2,358","1,646","792","286","82","23","122,153","50,769","9,103","9,487","8,266","5,955","4,776","5,078","4,028","2,438","1,104","397","97","40","62,205","24,637","4,968","5,059","4,345","2,945","2,240","2,195","1,659","786","303","106","14","17","59,948","26,132","4,135","4,428","3,921","3,010","2,536","2,883","2,369","1,652","801","291","83","23"
"경기도  (4100000000)","12,211,807","4,553,961","1,074,707","1,043,539","766,513","483,235","388,221","340,495","237,340","129,594","59,610","23,132","5,118","2,457","6,149,461","2,219,852","549,388","540,755","392,198","238,991","183,832","151,228","95,647","43,551","16,346","6,117","1,147","652","6,062,346","2,334,109","525,319","502,784","374,315","244,244","204,389","189,267","141,693","86,043","43,264","17,015","3,971","1,805","12,219,786","4,568,089","1,079,753","1,040,207","773,163","484,578","389,907","340,718","238,555","130,198","60,263","23,116","5,144","2,487","6,152,044","2,226,641","551,729","538,948","395,652","239,631","184,813","151,308","96,232","43,890","16,516","6,116","1,152","654","6,067,742","2,341,448","528,024","501,259","377,511","244,947","205,094","189,410","142,323","86,308","43,747","17,000","3,992","1,833","12,234,630","4,585,312","1,087,138","1,036,626","779,947","486,078","391,838","340,393","239,992","131,505","60,878","23,251","5,144","2,522","6,159,193","2,234,910","555,055","537,020","399,347","240,296","185,878","151,130","97,027","44,510","16,685","6,143","1,154","665","6,075,437","2,350,402","532,083","499,606","380,600","245,782","205,960","189,263","142,965","86,995","44,193","17,108","3,990","1,857"
