"","지점번호","지점명(한글)"
"299",548,"여주"
"300",549,"용인"
"301",550,"오산"
"302",551,"평택"
"303",552,"김화"
"304",553,"대진"
"305",554,"미시령"
"306",555,"화천"
"307",556,"양구"
"308",557,"기린"
"309",558,"팔봉"
"310",559,"내면"
"311",560,"진부"
"312",561,"청일"
"313",562,"주천"
"314",563,"북평"
"315",565,"시흥"
"316",566,"연곡"
"317",567,"적성"
"318",568,"일동"
"319",569,"구리"
"320",570,"금곡"
"321",571,"화성"
"322",572,"성남"
"323",573,"청운"
"324",574,"대신"
"325",575,"이동"
"326",576,"백암"
"327",577,"장봉도"
"328",578,"호도"
"329",579,"하장"
"330",580,"옥계"
"331",581,"상동"
"332",582,"신림"
"333",583,"안흥"
"334",585,"신남"
"335",586,"북산"
"336",587,"방산"
"337",588,"남산"
"338",589,"능곡"
"339",590,"과천"
"340",591,"치악산"
"341",592,"부론"
"342",593,"양양영덕"
"343",594,"서화"
"344",595,"진부령"
"345",596,"오색"
"346",597,"대화"
"347",598,"양주"
"348",599,"광릉"
"349",600,"금왕"
"350",601,"단양"
"351",602,"진천"
"352",603,"괴산"
"353",604,"옥천"
"354",605,"영동"
"355",606,"대산"
"356",607,"근흥"
"357",608,"홍북"
"358",609,"삽시도"
"359",610,"홍성"
"360",611,"세종연서"
"361",612,"공주"
"362",614,"서천"
"363",615,"논산"
"364",616,"당진"
"365",617,"성거"
"366",618,"청양"
"367",619,"음성"
"368",620,"엄정"
"369",621,"수산"
"370",622,"수안보"
"371",623,"증평"
"372",624,"상당"
"373",625,"속리산"
"374",626,"청산"
"375",627,"태안"
"376",628,"예산"
"377",629,"세종전의"
"378",630,"노은"
"379",631,"송도"
"380",632,"유구"
"381",633,"정안"
"382",634,"아산"
"383",635,"양화"
"384",636,"계룡"
"385",637,"신평"
"386",638,"영춘"
"387",639,"덕산"
"388",640,"청천"
"389",641,"대청"
"390",642,"문화"
"391",643,"세천"
"392",644,"연무"
"393",645,"서부"
"394",646,"춘장대"
"395",647,"가곡"
"396",648,"장동"
"397",649,"부평"
"398",650,"양지"
"399",651,"외촌"
"400",652,"청산"
"401",654,"자월도"
"402",655,"소청도"
"403",656,"볼음도"
"404",657,"대천항"
"405",658,"만리포"
"406",659,"계룡산"
"407",660,"면온"
"408",661,"현내"
"409",662,"승봉도"
"410",663,"목덕도"
"411",664,"영흥도"
"412",665,"무의도"
"413",666,"안도"
"414",667,"옹도"
"415",669,"외연도"
"416",670,"양양"
"417",671,"청호"
"418",672,"상하"
"419",673,"진영"
"420",674,"사북"
"421",675,"남이섬"
"422",680,"평화"
"423",681,"원동"
"424",682,"임남"
"425",683,"오창가곡"
"426",684,"춘천신북"
"427",685,"강정"
"428",686,"대곡"
"429",688,"봉산"
"430",690,"풍산"
"431",691,"정산"
"432",692,"백학"
"433",693,"오창"
"434",694,"원효봉"
"435",695,"광덕산"
"436",696,"신기"
"437",697,"서거차도"
"438",698,"해제"
"439",699,"무안"
"440",700,"어청도"
"441",701,"무주"
"442",702,"익산"
"443",703,"진안"
"444",704,"변산"
"445",706,"담양"
"446",707,"지도"
"447",708,"광산"
"448",709,"구례"
"449",710,"나주"
"450",711,"이양"
"451",712,"순천시"
"452",713,"광양읍"
"453",714,"자은도"
"454",716,"하의도"
"455",717,"의신"
"456",718,"상조도"
"457",719,"선유도"
"458",720,"보길도"
"459",721,"금일"
"460",722,"조선대"
"461",723,"거문도"
"462",724,"추자도"
"463",725,"우도"
"464",726,"마라도"
"465",727,"유수암"
"466",730,"장성"
"467",731,"영암"
"468",732,"보성"
"469",733,"함라"
"470",734,"완주"
"471",735,"덕유산"
"472",736,"진봉"
"473",737,"김제"
"474",738,"줄포"
"475",739,"심원"
"476",741,"화순"
"477",742,"운남"
"478",743,"비금"
"479",744,"산이"
"480",745,"성전"
"481",746,"땅끝"
"482",747,"청산도"
"483",748,"벌교"
"484",749,"도양"
"485",750,"백야"
"486",751,"선흘"
"487",752,"서광"
"488",753,"어리목"
"489",754,"함평"
"490",755,"화순북"
"491",756,"위도"
"492",757,"주천"
"493",758,"동향"
"494",759,"뱀사골"
"495",760,"복흥"
"496",761,"태인"
"497",762,"강진면"
"498",763,"여산"
"499",764,"신덕"
"500",765,"복내"
"501",766,"여수산단"
"502",767,"포두"
"503",768,"곡성"
"504",769,"염산"
"505",770,"다도"
"506",771,"안좌"
"507",772,"수유"
"508",773,"학산"
"509",774,"전남도청"
"510",775,"월야"
"511",776,"현산"
"512",777,"관산"
"513",778,"유치"
"514",779,"한림"
"515",780,"남원"
"516",781,"구좌"
"517",782,"성판악"
"518",783,"과기원"
"519",784,"시종"
"520",785,"북일"
"521",786,"돌산"
"522",787,"도화"
"523",788,"풍암"
"524",789,"압해도"
"525",790,"나로도"
"526",791,"피아골"
"527",792,"표선면"
"528",793,"모슬포"
"529",794,"황전"
"530",795,"옥과"
"531",796,"초도"
"532",797,"하태도"
"533",798,"홍도"
"534",799,"낙월도"
"535",800,"후포"
"536",801,"영양"
"537",802,"온정"
"538",803,"옥산"
"539",804,"청하"
"540",805,"죽장"
"541",806,"선산"
"542",807,"의흥"
"543",808,"호미곶"
"544",809,"대덕"
"545",810,"성주"
"546",811,"황성"
"547",812,"고령"
"548",813,"청도"
"549",814,"부석"
"550",815,"예천"
"551",816,"구룡포"
"552",817,"수비"
"553",818,"마성"
"554",819,"예안"
"555",820,"하회"
"556",821,"공성"
"557",822,"김천"
