,citys,general_hospits_num,general_hospits_bed,hospits_num,hospits_bed,affiliated_hospits_num,affiliated_hospits_bed
0,서울특별시,57,33469,206,17098,50,29
1,부산광역시,27,12716,115,12544,6,0
2,대구광역시,12,6681,110,13983,8,0
3,인천광역시,19,8407,47,5831,6,0
4,광주광역시,21,6817,71,8202,6,-
5,대전광역시,9,5081,33,3068,9,43
6,울산광역시,6,2700,36,3820,7,0
7,세종특별자치시,-,-,1,99,5,-
8,경기도,56,23231,258,28776,40,238
9,강원도,16,5639,42,5102,8,27
10,충청북도,11,4294,37,4398,10,87
11,충청남도,12,4703,40,3423,-,-
12,전라북도,12,5075,66,7446,4,45
13,전라남도,22,7079,78,10405,10,68
14,경상북도,19,7498,67,8618,20,114
15,경상남도,24,8845,119,15395,10,20
16,제주특별자치도,7,2363,6,698,0,0
