"행정구역별(1)",행정구역별(2),주민등록인구수(등록외국인포함) (명),합계,합계,합계,종합병원 (개),종합병원 (개),종합병원 (개),병원 (개),병원 (개),의원 (개),의원 (개),특수병원 (개),특수병원 (개),요양병원 (개),요양병원 (개),치과병(의)원 (개),치과병(의)원 (개),한방병원 (개),한방병원 (개),한의원 (개),한의원 (개),조산소 (개),조산소 (개),부속병·의원 (개),부속병·의원 (개),보건의료원 (개),보건소 (개),보건지소 (개),보건진료소 (개)
"행정구역별(1)",행정구역별(2),소계,병원수 (개),병상수 (개),병상확보율 (%),병원수,병상수,만명당종합병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,소계,소계,소계,소계
"행정구역별(1)",행정구역별(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
"부산광역시",북구,308215,337,4449,1.44,1,399,0.03,8,875,151,371,1,298,18,2503,85,3,-,-,72,-,-,-,1,-,-,1,1,-
"부산광역시",해운대구,427460,596,6018,1.41,1,865,0.02,13,1369,279,851,1,299,21,2460,154,15,1,123,125,36,1,-,-,-,-,1,2,-
"부산광역시",사하구,347859,401,7291,2.10,-,-,-,20,2237,170,506,1,299,22,4228,103,-,-,-,85,21,-,-,-,-,-,1,-,-
"부산광역시",금정구,252850,328,5573,2.20,1,422,0.04,9,1074,134,281,2,675,18,3012,86,-,2,109,76,-,-,-,-,-,-,1,-,-
"부산광역시",강서구,85097,44,304,0.36,-,-,-,1,200,16,25,-,-,1,79,13,-,-,-,9,-,-,-,4,-,-,1,4,3
"부산광역시",연제구,208787,326,4620,2.21,1,562,0.05,9,844,142,369,1,540,14,2226,82,-,2,73,73,-,2,6,-,-,-,1,-,-
"부산광역시",수영구,179620,272,3768,2.10,2,699,0.11,8,996,104,186,-,-,10,1887,69,-,-,-,79,-,-,-,-,-,-,1,-,-
"부산광역시",사상구,247364,231,6650,2.69,2,964,0.08,8,1278,106,226,5,1688,13,2494,57,-,-,-,39,-,1,-,-,-,-,1,-,-
"부산광역시",기장군,146615,147,1888,1.29,1,299,0.07,2,276,70,190,-,-,9,1064,34,-,1,59,30,-,-,-,-,-,-,1,3,2
"대구광역시",소계,2518467,3428,34631,1.38,12,6681,0.05,110,13983,1592,3149,2,723,61,9933,810,15,2,125,829,0,2,22,8,0,0,8,10,8
"대구광역시",중구,79610,397,3633,4.56,3,2014,0.38,9,799,212,347,0,0,3,458,96,15,0,0,73,0,0,0,1,0,0,1,0,0
"대구광역시",동구,349619,427,3942,1.13,1,702,0.03,9,1565,209,506,0,0,8,1169,95,0,0,0,105,0,0,0,0,0,0,1,0,0
"대구광역시",서구,213136,260,3597,1.69,1,498,0.05,9,1218,118,295,0,0,8,1586,53,0,0,0,71,0,0,0,0,0,0,1,0,0
"대구광역시",남구,164483,247,4458,2.71,2,1767,0.12,8,1120,107,159,0,0,10,1412,57,0,0,0,62,0,0,0,1,0,0,1,0,0
"대구광역시",북구,449157,508,6229,1.39,2,729,0.04,16,2573,227,766,1,363,10,1776,132,0,0,0,115,0,1,22,4,0,0,1,1,0
"대구광역시",수성구,457976,674,3487,0.76,1,285,0.02,20,1561,299,393,0,0,6,1123,158,0,2,125,187,0,1,0,0,0,0,1,1,0
"대구광역시",달서구,615140,732,7077,1.15,2,686,0.03,33,4360,333,480,0,0,11,1551,180,0,0,0,173,0,0,0,0,0,0,1,1,0
"대구광역시",달성군,189346,183,2208,1.17,0,0,0.00,6,787,87,203,1,360,5,858,39,0,0,0,43,0,0,0,2,0,0,1,7,8
"인천광역시",소계,2957931,2972,32780,1.11,19,8407,0.06,47,5831,1406,7406,5,1019,60,8982,810,8,14,788,603,339,2,0,6,0,0,10,28,26
"인천광역시",중구,116188,100,1996,1.72,3,1430,0.26,-,-,45,175,-,-,3,391,34,-,-,-,15,-,-,-,-,-,-,1,2,1
"인천광역시",동구,75011,86,824,1.10,2,563,0.27,-,-,40,261,-,-,-,-,24,-,-,-,18,-,-,-,2,-,-,1,-,-
"인천광역시",미추홀구,415448,428,6500,1.56,2,688,0.05,8,1042,205,2731,-,-,12,1786,114,-,2,105,85,148,-,-,-,-,-,1,1,-
"인천광역시",연수구,316421,293,1699,0.54,2,517,0.06,3,286,139,386,-,-,3,461,85,3,1,46,60,-,-,-,-,-,-,1,1,-
"인천광역시",남동구,527253,625,6304,1.20,1,1600,0.02,12,1481,315,1253,-,-,11,1737,155,-,3,182,128,51,-,-,-,-,-,1,1,-
"인천광역시",부평구,566321,614,5391,0.95,3,1486,0.05,12,1335,288,969,-,-,8,1282,170,5,4,236,127,78,-,-,2,-,-,1,1,-
"인천광역시",계양구,342649,355,3912,1.14,1,423,0.03,5,334,159,673,3,638,11,1724,101,-,2,120,70,-,1,-,2,-,-,1,1,-
"인천광역시",서구,510007,411,5330,1.05,5,1700,0.10,5,1163,195,866,-,-,10,1440,112,-,2,99,81,62,1,-,-,-,-,1,1,-
"인천광역시",강화군,67775,55,786,1.16,0,0,0.00,1,160,19,84,2,381,2,161,14,-,-,-,17,-,-,-,-,-,-,1,12,14
"인천광역시",옹진군,20858,5,38,0.18,0,0,0.00,1,30,1,8,-,-,-,-,1,-,-,-,2,-,-,-,-,-,-,1,8,11
"광주광역시",소계,1492948,1960,33402,2.24,21,6817,0.14,71,8202,874,3104,2,379,41,10475,571,5,70,4303,304,117,-,-,6,-,-,5,4,10
"광주광역시",동구,101833,234,5642,5.54,2,1755,0.20,9,1379,120,548,-,-,7,1620,56,5,4,307,34,28,-,-,2,-,-,1,-,-
"광주광역시",서구,311985,479,5061,1.62,5,1244,0.16,16,1353,223,683,-,-,5,934,137,-,12,811,81,36,-,-,-,-,-,1,1,1
"광주광역시",남구,221120,283,5692,2.57,3,1047,0.14,11,1337,115,454,-,-,7,2023,92,-,12,831,43,-,-,-,-,-,-,1,1,2
"광주광역시",북구,451936,546,8150,1.80,5,928,0.11,20,2417,243,821,1,83,10,2563,159,-,25,1297,83,41,-,-,-,-,-,1,1,-
"광주광역시",광산구,406074,418,8857,2.18,6,1843,0.15,15,1716,173,598,1,296,12,3335,127,-,17,1057,63,12,-,-,4,-,-,1,1,7
"대전광역시",소계,1547467,2125,22514,1.45,9,5081,0.06,33,3068,1011,3857,7,1630,51,8208,506,52,5,435,492,140,2,-,9,43,-,5,7,8
"대전광역시",동구,248924,318,2925,1.18,1,341,0.04,1,78,147,490,1,140,11,1673,69,-,1,79,85,110,-,-,2,14,-,1,1,1
"대전광역시",중구,262756,388,6171,2.35,3,2590,0.11,5,335,181,1009,2,285,15,1877,93,5,1,70,87,-,1,-,-,-,-,1,1,1
"대전광역시",서구,499387,845,6689,1.34,2,1222,0.04,22,1576,410,1425,1,413,11,1756,209,11,3,286,185,-,-,-,2,-,-,1,2,1
"대전광역시",유성구,332749,360,3735,1.12,1,229,0.03,2,659,165,478,2,570,9,1716,88,25,-,-,88,29,1,-,4,29,-,1,2,4
"대전광역시",대덕구,203651,214,2994,1.47,2,699,0.10,3,420,108,455,1,222,5,1186,47,11,-,-,47,1,-,-,1,-,-,1,1,1
"울산광역시",소계,1192262,1288,14053,1.18,6,2700,0.05,36,3820,547,1268,2,417,45,5630,359,13,3,197,283,8,0,0,7,0,0,5,8,11
"울산광역시",중구,241407,234,2459,1.02,1,598,0.04,9,708,99,121,-,-,7,1032,65,-,-,-,53,-,-,-,-,-,-,1,-,-
"울산광역시",남구,353362,570,5536,1.57,2,513,0.06,16,1510,244,421,2,417,22,2465,159,13,3,197,121,-,-,-,1,-,-,1,1,-
"울산광역시",동구,183587,177,1921,1.05,1,883,0.05,2,161,79,445,-,-,3,432,51,-,-,-,38,-,-,-,3,-,-,1,-,-
"울산광역시",북구,191196,148,948,0.50,1,244,0.05,3,214,62,146,-,-,3,344,46,-,-,-,32,-,-,-,1,-,-,1,-,2
"울산광역시",울주군,222710,159,3189,1.43,1,462,0.04,6,1227,63,135,-,-,10,1357,38,-,-,-,39,8,-,-,2,-,-,1,7,9
"세종특별자치시",소계,158844,153,1284,0.81,-,-,0.00,1,99,72,218,1,120,6,847,36,-,-,-,32,-,-,-,5,-,-,-,11,7
"경기도",소계,12709996,13058,122695,0.97,56,23231,0.04,258,28776,6278,16695,39,10224,267,41024,3466,28,36,1850,2609,610,9,19,40,238,1,44,124,161
"경기도",수원시,1209169,1383,10115,0.84,4,2439,0.03,32,2888,836,1524,3,598,17,2494,264,-,2,137,216,-,-,-,9,35,-,4,-,-
"경기도",성남시,992215,1441,9662,0.97,5,3230,0.05,21,3337,672,1329,-,-,11,1586,422,3,2,133,304,44,-,-,4,-,-,3,1,-
"경기도",의정부시,434760,487,5726,1.32,3,1135,0.07,17,2694,236,610,3,640,4,598,132,-,1,49,87,-,1,-,3,-,-,1,-,-
"경기도",안양시,608309,772,4561,0.75,4,1679,0.07,12,1012,344,862,-,-,7,891,230,1,2,100,170,13,2,3,1,-,-,2,-,-
"경기도",부천시,874745,1024,11614,1.33,5,2366,0.06,21,1800,535,1312,4,559,28,5121,223,-,6,371,201,78,1,7,-,-,-,3,-,-
"경기도",광명시,353839,383,1998,0.56,1,424,0.03,3,203,189,727,-,-,4,642,109,-,-,-,75,-,1,2,1,-,-,1,-,-
"경기도",평택시,466720,448,3797,0.81,3,811,0.06,14,1544,212,754,-,-,6,646,115,-,-,-,93,14,1,1,4,27,-,2,9,11
"경기도",동두천시,100528,84,2190,2.18,0,0,0.00,2,284,38,190,1,270,8,1446,20,-,-,-,15,-,-,-,-,-,-,1,-,-
"경기도",안산시,761631,701,9146,1.20,4,1926,0.05,20,1666,332,1365,1,179,21,3345,185,-,9,438,128,226,1,1,-,-,-,2,3,1
"경기도",고양시,1018013,1105,11908,1.17,5,3137,0.05,20,2224,507,1233,5,1007,24,4061,298,7,3,133,243,106,-,-,-,-,-,3,-,-
"경기도",과천시,70448,64,13,0.02,0,0,0.00,-,-,30,13,-,-,-,-,18,-,-,-,14,-,-,-,2,-,-,1,-,-
"경기도",구리시,188202,266,2873,1.53,1,578,0.05,12,1444,121,349,1,137,2,365,77,-,-,-,52,-,-,-,-,-,-,1,2,-
"경기도",남양주시,642192,570,5477,0.85,3,942,0.05,11,1057,257,758,2,522,13,2195,161,-,-,-,122,-,1,3,-,-,-,1,7,3
"경기도",오산시,215819,197,2086,0.97,1,360,0.05,3,245,90,322,1,486,4,673,63,-,-,-,35,-,-,-,-,-,-,1,-,-
"경기도",시흥시,424622,353,4155,0.98,3,655,0.07,3,334,170,931,-,-,14,2038,99,-,5,197,59,-,-,-,-,-,-,1,1,4
"경기도",군포시,294987,281,2447,0.83,2,714,0.07,3,374,132,253,2,460,5,641,83,5,-,-,54,-,-,-,-,-,-,1,-,-
