,citys,general_hospits_num,general_hospits_bed,hospits_num,hospits_bed,affiliated_hospits_num,affiliated_hospits_bed
0,서울특별시,57,33057,206,17336,47,29
1,부산광역시,27,12713,105,11886,9,-
2,대구광역시,11,6343,105,13849,8,10
3,인천광역시,17,7223,50,6878,5,-
4,광주광역시,21,6395,64,7937,9,-
5,대전광역시,9,5465,34,3464,9,43
6,울산광역시,4,2250,40,4344,7,-
7,세종특별자치시,-,-,1,91,2,-
8,경기도,55,22495,261,28640,34,190
9,강원도,15,5288,39,4713,6,27
10,충청북도,11,4311,37,4543,9,87
11,충청남도,12,4796,42,4374,14,25
12,전라북도,13,5356,70,7964,4,55
13,전라남도,22,6574,63,8284,8,58
14,경상북도,18,7050,75,11633,17,100
15,경상남도,24,8306,108,11880,10,20
16,제주특별자치도,7,2430,7,931,5,12
