,area,man_01,man_02,man_03,man_04,man_05,man_06,man_07,man_08,man_09,man_10,man_11,man_12
0,전국  (0000000000),9448073.0,9480340.0,9511556.0,9533694.0,9554961,9571048.0,9591795,9615054,9638621,9662800,9686167,9714538
1,서울특별시  (1100000000),1865874.0,1870657.0,1874382.0,1876740.0,1879023,1880652.0,1883059,1886012,1889059,1891713,1894387,1897535
2,부산광역시  (2600000000),725056.0,726544.0,727982.0,729017.0,729679,730237.0,731386,732621,733762,735022,736279,737779
3,대구광역시  (2700000000),464623.0,466111.0,467645.0,468706.0,469692,470484.0,471434,472687,473824,475042,476171,477342
4,인천광역시  (2800000000),504553.0,506839.0,508967.0,510550.0,512127,513213.0,514646,516330,517881,519673,521451,523200
5,광주광역시  (2900000000),238253.0,239181.0,240031.0,240466.0,241005,241483.0,242150,242916,243671,244515,245536,246273
6,대전광역시  (3000000000),259136.0,260160.0,261196.0,261961.0,262626,263016.0,263513,264117,264903,265672,266513,267406
7,울산광역시  (3100000000),201978.0,202818.0,203810.0,204601.0,205317,205657.0,206184,206837,207475,208260,209019,209794
8,경기도  (4100000000),2054584.0,2064126.0,2072958.0,2079766.0,2086168,2091571.0,2098146,2105221,2112233,2119377,2126304,2135247
9,강원도  (4200000000),322636.0,323501.0,324494.0,325278.0,326157,326705.0,327404,328144,328878,329522,330178,330940
10,충청북도  (4300000000),304928.0,306120.0,307416.0,308307.0,309074,309642.0,308746,309506,310331,311227,311940,312926
11,충청남도  (4400000000),417782.0,419651.0,421244.0,422390.0,423504,424200.0,405004,405804,406769,407696,408608,409904
12,전라북도  (4500000000),378668.0,379771.0,380997.0,381701.0,382314,382798.0,383364,384147,384933,385730,386517,387436
13,전라남도  (4600000000),416592.0,417332.0,418357.0,418993.0,419825,420436.0,421158,421956,422700,423558,424203,425346
14,경상북도  (4700000000),565255.0,566788.0,568585.0,569736.0,570854,571862.0,572853,573787,575014,576242,577441,578877
15,경상남도  (4800000000),622268.0,624463.0,626863.0,628536.0,630260,631431.0,632806,634279,635929,637627,639165,641520
16,제주특별자치도  (5000000000),105887.0,106278.0,106629.0,106946.0,107336,107661.0,108102,108544,108945,109424,109822,110156
17,세종특별자치시  (3600000000),,,,,,,21840,22146,22314,22500,22633,22857
