,area,woman_01,woman_02,woman_03,woman_04,woman_05,woman_06,woman_07,woman_08,woman_09,woman_10,woman_11,woman_12
0,전국  (0000000000),6761282,6787254,6819374,6844599,6869704,6889661,6911953,6939854,6965910,6994100,7020749,7055169
1,서울특별시  (1100000000),1316601,1321173,1326625,1330600,1334532,1337638,1341350,1346547,1351324,1356052,1360595,1366083
2,부산광역시  (2600000000),538318,540401,542898,544624,546556,548136,549793,551751,553928,556613,558379,560665
3,대구광역시  (2700000000),331137,332340,334170,335529,336727,337695,338627,339900,340779,342393,343767,346283
4,인천광역시  (2800000000),326124,327895,329841,331465,333159,334447,335920,337632,339354,341318,342913,344930
5,광주광역시  (2900000000),168862,169514,170289,170915,171786,172468,173181,173981,174795,175563,176342,176930
6,대전광역시  (3000000000),173474,174288,175274,176147,176801,177360,178000,178865,179573,180360,181123,182167
7,울산광역시  (3100000000),117701,118277,119056,119777,120410,120932,121406,122097,122690,123398,124225,124988
8,세종특별자치시  (3600000000),17672,17806,17890,18000,18159,18269,18406,18576,18804,19073,19428,19851
9,경기도  (4100000000),1326109,1332725,1340461,1346580,1352443,1358039,1364164,1371158,1377692,1384730,1391536,1399815
10,강원도  (4200000000),249236,250211,251276,252015,252859,253513,254226,255153,255983,256953,257977,259278
11,충청북도  (4300000000),226908,227761,228770,229610,230436,231013,231629,232589,233385,234203,235078,236046
12,충청남도  (4400000000),309415,310360,311706,312784,313894,314619,315408,316369,317161,318057,318902,320292
13,전라북도  (4500000000),306130,306893,307952,308872,309733,310433,311183,312155,313056,313920,314741,315799
14,전라남도  (4600000000),351026,351769,352910,353851,354769,355302,356013,356841,357542,358486,359193,360104
15,경상북도  (4700000000),455260,456648,458496,460020,461517,462452,463515,464950,466762,467853,469114,471782
16,경상남도  (4800000000),466170,467778,470014,471759,473557,474718,476174,477941,479354,480983,482924,485278
17,제주특별자치도  (5000000000),81139,81415,81746,82051,82366,82627,82958,83349,83728,84145,84512,84878
