,area,man_01,man_02,man_03,man_04,man_05,man_06,man_07,man_08,man_09,man_10,man_11,man_12
0,전국  (0000000000),9746874,9778590,9812037,9833581,9856426,9876494,9909108,9938112,9969250,10000304,10024173,10051722
1,서울특별시  (1100000000),1902606,1907260,1911505,1913713,1916278,1918225,1922955,1927019,1931718,1936025,1938798,1941940
2,부산광역시  (2600000000),739500,741261,742783,743793,744605,745472,747020,748377,750052,751670,752876,753871
3,대구광역시  (2700000000),478889,480399,482155,483128,484351,485010,486430,487714,489198,490700,491751,493051
4,인천광역시  (2800000000),525245,527351,529572,531113,532701,534103,536215,538097,540210,542149,543872,545693
5,광주광역시  (2900000000),247314,248122,248862,249390,250003,250533,251695,252673,253605,254453,255221,256071
6,대전광역시  (3000000000),268349,269314,270424,271197,271880,272375,273257,274138,275189,276230,276932,277758
7,울산광역시  (3100000000),210630,211499,212675,213189,213847,214376,215196,216090,216780,217495,218269,218969
8,세종특별자치시  (3600000000),23007,23244,23401,23536,23658,23734,23836,23984,24098,24226,24354,24637
9,경기도  (4100000000),2145090,2154553,2164256,2170852,2177908,2184162,2193832,2202398,2211257,2219852,2226641,2234910
10,강원도  (4200000000),331841,332836,334075,334933,335713,336584,337644,338569,339382,340380,341174,341940
11,충청북도  (4300000000),313925,315035,316121,316934,317681,318450,319448,320324,321326,322448,323230,324252
12,충청남도  (4400000000),411172,412576,414047,415208,416265,417268,418502,419838,421200,422753,423715,424968
13,전라북도  (4500000000),388391,389240,390269,391015,391835,392627,393912,394909,395973,396935,397881,398944
14,전라남도  (4600000000),426229,427084,428088,428631,429427,430189,431436,432336,433396,434425,435390,436335
15,경상북도  (4700000000),580626,582190,584165,585379,586624,587958,589525,590941,592501,594075,595348,596839
16,경상남도  (4800000000),643477,645581,648138,649664,651406,652819,654908,656939,659067,661708,663519,665992
17,제주특별자치도  (5000000000),110583,111045,111501,111906,112244,112609,113297,113766,114298,114780,115202,115552
