,area,man_01,man_02,man_03,man_04,man_05,man_06,man_07,man_08,man_09,man_10,man_11,man_12
0,전국  (0000000000),10420692,10454204,10485421,10510961,10539657,10561514,10586660,10615037,10645248,10676101,10702568,10725517
1,서울특별시  (1100000000),1994387,1999912,2003710,2006573,2009916,2011226,2013842,2016564,2020137,2023430,2026169,2027548
2,부산광역시  (2600000000),770965,772610,773787,774918,776243,777298,778724,779764,781142,782516,783663,784605
3,대구광역시  (2700000000),508079,509639,510958,511898,513003,513735,514708,515779,516888,517961,519019,519922
4,인천광역시  (2800000000),568652,570738,572666,574213,576092,577555,579307,581239,583203,585141,586790,588114
5,광주광역시  (2900000000),266199,267098,268069,268768,269525,270043,270753,271543,272304,273018,273814,274298
6,대전광역시  (3000000000),288292,289061,289732,290361,291026,291526,292159,292810,293653,294363,294948,295368
7,울산광역시  (3100000000),228637,229471,230377,231025,231601,232102,232559,233207,233896,234871,235639,236016
8,세종특별자치시  (3600000000),29548,30343,31033,31611,32153,32569,33141,33707,34266,34846,35362,35960
9,경기도  (4100000000),2344993,2355088,2365404,2373695,2382923,2390706,2398953,2408492,2418126,2427992,2436861,2444808
10,강원도  (4200000000),353208,354012,354876,355739,356784,357645,358521,359449,360368,361505,362183,362813
11,충청북도  (4300000000),336748,337743,338695,339564,340549,341639,342262,343133,344098,345046,345826,346658
12,충청남도  (4400000000),440922,442206,443531,444641,445991,446932,448104,449646,450851,452194,453383,454502
13,전라북도  (4500000000),410826,411795,412725,413542,414540,415225,415992,416852,417924,418997,419914,420697
14,전라남도  (4600000000),447721,448539,449384,450244,451146,451930,452750,453683,454723,455969,456671,457931
15,경상북도  (4700000000),615794,617432,619022,620185,621570,622890,624176,625876,627314,628805,630159,631358
16,경상남도  (4800000000),693454,695768,698111,700071,702098,703426,704980,706952,709315,711773,713801,715967
17,제주특별자치도  (5000000000),122267,122749,123341,123913,124497,125067,125729,126341,127040,127674,128366,128952
