,area,woman_01,woman_02,woman_03,woman_04,woman_05,woman_06,woman_07,woman_08,woman_09,woman_10,woman_11,woman_12
0,전국  (0000000000),6475449,6499168,6527630,6547351,6568430,6585921,6605016,6632894,6657672,6684361,6707593,6732495
1,서울특별시  (1100000000),1265706,1270602,1276078,1279135,1282684,1285788,1288826,1293994,1298629,1303288,1307160,1311036
2,부산광역시  (2600000000),515871,517845,520230,521844,523619,524800,526195,528376,530443,532577,534365,536196
3,대구광역시  (2700000000),317659,318732,320134,321044,321985,322705,323540,324793,326022,327332,328373,329609
4,인천광역시  (2800000000),306234,307895,309790,311202,312686,313901,315327,317221,318876,320693,322303,324136
5,광주광역시  (2900000000),161178,161711,162403,162933,163571,164048,164657,165544,166289,166956,167529,168129
6,대전광역시  (3000000000),165222,165922,166788,167370,167884,168327,168844,169650,170342,171168,171848,172611
7,울산광역시  (3100000000),110584,111145,111945,112419,112942,113401,113828,114533,115067,115708,116368,116994
8,세종특별자치시  (3600000000),16805,16920,16995,17031,17080,17110,17155,17225,17277,17349,17423,17569
9,경기도  (4100000000),1252251,1258152,1265199,1270580,1276086,1280655,1286189,1293288,1299441,1306006,1312165,1318713
10,강원도  (4200000000),239292,240102,241076,241781,242611,243357,244015,244931,245711,246559,247412,248301
11,충청북도  (4300000000),217898,218711,219583,220200,220785,221385,221984,222798,223621,224496,225172,225986
12,충청남도  (4400000000),299159,300002,301080,301908,302656,303305,303997,305049,305892,306894,307600,308395
13,전라북도  (4500000000),297441,298110,298859,299509,300051,300609,301167,302033,302878,303790,304569,305417
14,전라남도  (4600000000),343108,343588,344326,344767,345438,346036,346504,347307,347961,348872,349618,350365
15,경상북도  (4700000000),441440,442515,443985,444895,445932,446712,447463,448735,449921,451318,452531,453802
16,경상남도  (4800000000),447752,449156,450855,452217,453644,454716,455980,457700,459253,461017,462535,464335
17,제주특별자치도  (5000000000),77849,78060,78304,78516,78776,79066,79345,79717,80049,80338,80622,80901
