,area,woman_01,woman_02,woman_03,woman_04,woman_05,woman_06,woman_07,woman_08,woman_09,woman_10,woman_11,woman_12
0,전국  (0000000000),7450139,7483900,7524445,7554188,7586224,7617733,7646491,7671600,7693632,7717781,7738634,7759240
1,서울특별시  (1100000000),1427047,1432357,1438579,1442616,1446980,1451631,1455664,1458646,1461443,1464282,1466470,1468674
2,부산광역시  (2600000000),589409,591838,594926,597120,599316,601238,603200,604894,606365,607889,609193,610667
3,대구광역시  (2700000000),364827,366622,368694,370047,371604,372925,374310,375565,376673,377846,378891,379985
4,인천광역시  (2800000000),371031,373187,375665,377641,379628,381687,383638,385417,386882,388575,389918,391219
5,광주광역시  (2900000000),186954,187676,188459,189176,190061,190940,191659,192260,192812,193445,193946,194381
6,대전광역시  (3000000000),193307,194263,195533,196421,197358,198269,199092,199717,200377,201003,201513,202101
7,울산광역시  (3100000000),134899,135770,136764,137475,138289,138925,139737,140374,140884,141531,142015,142538
8,세종특별자치시  (3600000000),24021,24397,24748,24974,25280,25556,25791,25961,26062,26265,26420,26663
9,경기도  (4100000000),1509399,1518819,1529779,1538321,1547458,1556804,1565231,1573338,1580416,1588284,1595120,1601456
10,강원도  (4200000000),272217,273386,274686,275775,276822,277902,278873,279693,280400,281183,281907,282546
11,충청북도  (4300000000),248054,249238,250788,251857,253027,254178,255003,255694,256364,257204,258054,258676
12,충청남도  (4400000000),335651,336933,338680,339912,341266,342535,343680,344701,345569,346535,347339,348117
13,전라북도  (4500000000),329213,330239,331435,332259,333152,334186,335012,335769,336400,337008,337766,338433
14,전라남도  (4600000000),371529,372275,373231,373990,374911,375712,376448,377053,377562,378261,378797,379443
15,경상북도  (4700000000),490757,492492,494708,496135,497792,499396,500839,502037,503099,504190,505138,506110
16,경상남도  (4800000000),511645,513864,516778,519071,521388,523469,525490,527251,528771,530282,531804,533577
17,제주특별자치도  (5000000000),90179,90544,90992,91398,91892,92380,92824,93230,93553,93998,94343,94654
