,area,man_01,man_02,man_03,man_04,man_05,man_06,man_07,man_08,man_09,man_10,man_11,man_12
0,전국  (0000000000),10764072,10797461,10829471,10854271,10888620,10912312,10941369,10970222,10998122,11027853,11052766,11074650
1,서울특별시  (1100000000),2033378,2038175,2041600,2044118,2047858,2050391,2053797,2056340,2059513,2062598,2064587,2066326
2,부산광역시  (2600000000),786672,788128,789409,790368,791788,792393,793603,794757,795893,797093,797966,798649
3,대구광역시  (2700000000),521867,523140,524463,525232,526457,527306,528294,529368,530556,531853,532750,533639
4,인천광역시  (2800000000),590489,592589,594460,596167,598181,599496,601336,603151,604786,606648,607949,609130
5,광주광역시  (2900000000),275559,276340,277168,277797,278855,279450,280213,280965,281762,282489,283087,283563
6,대전광역시  (3000000000),296244,297010,297887,298503,299426,299976,300752,301525,302242,302895,303566,303896
7,울산광역시  (3100000000),236838,237529,238192,238661,239330,239813,240365,241033,241608,242301,242822,243229
8,세종특별자치시  (3600000000),36647,37287,37834,38202,38651,39030,39459,39836,40200,40661,41068,41526
9,경기도  (4100000000),2456953,2467727,2478062,2486339,2497406,2506033,2516092,2526475,2536176,2546496,2555627,2563608
10,강원도  (4200000000),363981,364708,365809,366648,367773,368496,369489,370455,371255,372104,372742,373388
11,충청북도  (4300000000),347730,348725,349831,350738,351882,352674,353653,354627,355534,356597,357561,358361
12,충청남도  (4400000000),455891,457415,459054,460351,462164,463205,464401,465951,467375,468809,470245,471322
13,전라북도  (4500000000),421816,422924,423953,424772,426139,427010,427950,428857,429729,430583,431372,432040
14,전라남도  (4600000000),458858,459767,460842,461595,462956,463689,464608,465526,466265,467207,468035,468969
15,경상북도  (4700000000),633051,634884,636768,638121,639972,641191,642475,643806,645105,646503,647647,648713
16,경상남도  (4800000000),718442,720780,723063,724927,727173,728819,730864,732894,734851,737124,739239,741336
17,제주특별자치도  (5000000000),129656,130333,131076,131732,132609,133340,134018,134656,135272,135892,136503,136955
